PVSYST 8.0.20
;File;File date;Description
Projeto;Shopping Rio Poty_Project.PRJ;02/03/26 11h13;Shopping Rio Poty;
Localização geográfica;Teresina_MN82.SIT;02/03/26 11h13;Teresina;Brazil;South_America;;
Dados meteorológicos;Teresina_MN82_SYN.MET;11/02/26 11h13;Teresina;Meteonorm 8.2 (2010-2021), Sat=100%;Synthetic;
Variante da simulação;Shopping Rio Poty_Project.VCA;02/03/26 21h09;POTY_CARPORT_SOB_ESTACIONAMENTO_GERACAO_SOLAR_SEM_CONSUMO;
Simulation date;;02/03/26 21h59

Simulation:;Valores horários; de 01/01/90; até 31/12/90 

data;EArray;E_Grid
    ;kW;kW

01/01/90 00:00;0;-0,056
01/01/90 01:00;0;-0,056
01/01/90 02:00;0;-0,056
01/01/90 03:00;0;-0,056
01/01/90 04:00;0;-0,056
01/01/90 05:00;0;-0,056
01/01/90 06:00;33,729;29,384
01/01/90 07:00;107,48;104,52
01/01/90 08:00;151,8;148,36
01/01/90 09:00;253,29;248,68
01/01/90 10:00;265,08;260,32
01/01/90 11:00;312,06;306,74
01/01/90 12:00;337,88;332,23
01/01/90 13:00;301,27;296,07
01/01/90 14:00;308,12;302,84
01/01/90 15:00;176,62;172,9
01/01/90 16:00;94,913;92,095
01/01/90 17:00;23,653;17,878
01/01/90 18:00;0;-0,056
01/01/90 19:00;0;-0,056
01/01/90 20:00;0;-0,056
01/01/90 21:00;0;-0,056
01/01/90 22:00;0;-0,056
01/01/90 23:00;0;-0,056
02/01/90 00:00;0;-0,056
02/01/90 01:00;0;-0,056
02/01/90 02:00;0;-0,056
02/01/90 03:00;0;-0,056
02/01/90 04:00;0;-0,056
02/01/90 05:00;0;-0,056
02/01/90 06:00;90,879;88,105
02/01/90 07:00;269,16;264,35
02/01/90 08:00;565,82;557,11
02/01/90 09:00;638,17;628,42
02/01/90 10:00;502,32;494,5
02/01/90 11:00;687,63;677,15
02/01/90 12:00;728,31;717,21
02/01/90 13:00;698,44;687,79
02/01/90 14:00;474,79;467,35
02/01/90 15:00;632,99;623,32
02/01/90 16:00;502,59;494,73
02/01/90 17:00;93,07;90,138
02/01/90 18:00;0;-0,056
02/01/90 19:00;0;-0,056
02/01/90 20:00;0;-0,056
02/01/90 21:00;0;-0,056
02/01/90 22:00;0;-0,056
02/01/90 23:00;0;-0,056
03/01/90 00:00;0;-0,056
03/01/90 01:00;0;-0,056
03/01/90 02:00;0;-0,056
