Grandeza,Medicao,HoraDia,Media,Mediana,P95,Max,Mes,Tipo,MesOrdem
Consumo,Consumo Reativo,0,57.399,41.22,148.44,174.48,Nov,Real (pos-carga),0
Consumo,Consumo ativo Fora de Ponta,0,378.89008333333334,382.139,487.073,506.519,Nov,Real (pos-carga),0
Demanda,Demanda Reativa,0,229.595525,164.88,593.759,697.919,Nov,Real (pos-carga),0
Demanda,Demanda ativa Fora de Ponta,0,1515.5608,1528.557,1948.292,2026.076,Nov,Real (pos-carga),0
Consumo,Consumo Reativo,1,0.065,0.0,0.0,7.8,Nov,Real (pos-carga),0
Consumo,Consumo ativo Fora de Ponta,1,379.56801666666667,369.179,456.743,483.839,Nov,Real (pos-carga),0
Demanda,Demanda Reativa,1,0.26,0.0,0.0,31.2,Nov,Real (pos-carga),0
Demanda,Demanda ativa Fora de Ponta,1,1518.2727166666666,1476.717,1826.972,1935.356,Nov,Real (pos-carga),0
Consumo,Consumo Reativo,2,0.068,0.0,0.0,7.44,Nov,Real (pos-carga),0
Consumo,Consumo ativo Fora de Ponta,2,357.15205,350.099,442.235,448.679,Nov,Real (pos-carga),0
Demanda,Demanda Reativa,2,0.272,0.0,0.0,29.76,Nov,Real (pos-carga),0
Demanda,Demanda ativa Fora de Ponta,2,1428.6089583333335,1400.397,1768.94,1794.716,Nov,Real (pos-carga),0
Consumo,Consumo Reativo,3,0.255,0.0,0.005999999999999658,9.0,Nov,Real (pos-carga),0
Consumo,Consumo ativo Fora de Ponta,3,342.94710000000003,333.419,431.18899999999996,438.959,Nov,Real (pos-carga),0
Demanda,Demanda Reativa,3,1.02,0.0,0.023999999999998634,36.0,Nov,Real (pos-carga),0
Demanda,Demanda ativa Fora de Ponta,3,1371.7890583333333,1333.6770000000001,1724.7559999999999,1755.836,Nov,Real (pos-carga),0
Consumo,Consumo Reativo,4,0.18299999999999997,0.0,0.005999999999999658,9.12,Nov,Real (pos-carga),0
Consumo,Consumo ativo Fora de Ponta,4,336.4241166666667,323.639,424.001,429.959,Nov,Real (pos-carga),0
Demanda,Demanda Reativa,4,0.7319999999999999,0.0,0.023999999999998634,36.48,Nov,Real (pos-carga),0
Demanda,Demanda ativa Fora de Ponta,4,1345.69715,1294.557,1696.004,1719.836,Nov,Real (pos-carga),0
Consumo,Consumo Reativo,5,0.029,0.0,0.0,1.92,Nov,Real (pos-carga),0
Consumo,Consumo ativo Fora de Ponta,5,337.55411666666663,324.059,427.217,429.839,Nov,Real (pos-carga),0
Demanda,Demanda Reativa,5,0.116,0.0,0.0,7.68,Nov,Real (pos-carga),0
Demanda,Demanda ativa Fora de Ponta,5,1350.2171166666667,1296.237,1708.868,1719.356,Nov,Real (pos-carga),0
Consumo,Consumo Reativo,6,46.910999999999994,0.0,134.454,145.44,Nov,Real (pos-carga),0
Consumo,Consumo ativo Fora de Ponta,6,346.03409999999997,333.35900000000004,429.86899999999997,434.279,Nov,Real (pos-carga),0
Demanda,Demanda Reativa,6,187.643575,0.0,537.815,581.759,Nov,Real (pos-carga),0
Demanda,Demanda ativa Fora de Ponta,6,1384.1369750000001,1333.437,1719.4759999999999,1737.116,Nov,Real (pos-carga),0
Consumo,Consumo Reativo,7,117.05300000000001,122.46,169.11,179.4,Nov,Real (pos-carga),0
Consumo,Consumo ativo Fora de Ponta,7,365.73609166666665,378.179,461.969,489.959,Nov,Real (pos-carga),0
