dia,mes,tipo,dow,has_ponta,has_overflow,cons_hp_total,cons_hp_residual,cons_fp_total,cons_fp_net,dem_hp_max,dem_fp_max,dem_hp_resid,solar_saving,bess_charge_kwh,bess_dead
2025-02-01,Fev,Ajustado,Saturday,False,False,0.00,0.00,42982.47,41649.06,0.00,2405.88,0.00,7533.41,6200.00,False
2025-02-02,Fev,Ajustado,Sunday,False,False,0.00,0.00,39732.52,28490.31,0.00,2418.86,0.00,11242.21,0.00,False
2025-02-03,Fev,Ajustado,Monday,True,True,5750.90,277.41,35080.70,30151.82,1963.87,2398.61,98.19,4928.88,0.00,False
2025-02-04,Fev,Ajustado,Tuesday,True,True,5799.95,279.77,36612.91,37971.89,1979.55,2448.46,98.98,4114.52,5473.49,False
2025-02-05,Fev,Ajustado,Wednesday,True,True,5787.16,279.16,36379.94,36222.48,1967.53,2390.82,98.38,5677.63,5520.17,False
2025-02-06,Fev,Ajustado,Thursday,True,True,5882.12,283.74,38555.38,38224.53,1984.25,2446.38,99.21,5838.86,5508.01,False
2025-02-07,Fev,Ajustado,Friday,True,True,6457.98,401.63,37244.92,33102.61,2348.73,2480.13,254.21,9740.69,5598.39,False
2025-02-08,Fev,Ajustado,Saturday,False,False,0.00,0.00,44305.27,43030.00,0.00,2479.62,0.00,7331.62,6056.35,False
2025-02-09,Fev,Ajustado,Sunday,False,False,0.00,0.00,39604.60,27647.64,0.00,2460.92,0.00,11956.96,0.00,False
2025-02-10,Fev,Ajustado,Monday,True,True,5695.07,274.71,36904.46,25682.42,1947.14,2441.71,97.36,11222.04,0.00,False
2025-02-11,Fev,Ajustado,Tuesday,True,True,5793.68,279.47,35705.35,29771.01,1985.30,2419.90,99.26,11354.70,5420.36,False
2025-02-12,Fev,Ajustado,Wednesday,True,True,5587.46,269.52,35386.72,29496.43,1893.82,2275.98,94.69,11404.50,5514.21,False
2025-02-13,Fev,Ajustado,Thursday,True,True,5909.51,285.06,36932.68,34276.49,2004.12,2460.92,100.21,7974.14,5317.94,False
2025-02-14,Fev,Ajustado,Friday,True,True,6482.42,348.08,37108.00,33929.99,2325.62,2438.07,179.94,8802.47,5624.46,False
2025-02-15,Fev,Ajustado,Saturday,False,False,0.00,0.00,43351.30,37299.47,0.00,2454.17,0.00,12186.16,6134.33,False
2025-02-16,Fev,Ajustado,Sunday,False,False,0.00,0.00,39623.28,28748.93,0.00,2377.83,0.00,10874.35,0.00,False
2025-02-17,Fev,Ajustado,Monday,True,True,5572.72,268.81,35238.01,24749.24,1899.05,2318.25,94.95,10488.76,0.00,False
2025-02-18,Fev,Ajustado,Tuesday,True,True,5749.60,277.34,35955.00,29715.78,1972.23,2402.76,98.61,11543.12,5303.91,False
2025-02-19,Fev,Ajustado,Wednesday,True,True,5620.72,271.13,35973.48,35884.10,1916.82,2388.22,95.84,5561.64,5472.25,False
2025-02-20,Fev,Ajustado,Thursday,True,True,5655.42,272.80,35978.98,35886.38,1919.44,2409.51,95.97,5442.19,5349.60,False
2025-02-21,Fev,Ajustado,Friday,True,True,5704.99,275.19,35401.49,33966.43,1938.25,2321.31,96.91,6817.67,5382.62,False
2025-02-22,Fev,Ajustado,Saturday,False,False,0.00,0.00,42959.17,37305.77,0.00,2457.81,0.00,11083.19,5429.79,False
2025-02-23,Fev,Ajustado,Sunday,False,False,0.00,0.00,39449.66,32257.99,0.00,2411.59,0.00,7191.66,0.00,False
2025-02-24,Fev,Ajustado,Monday,True,True,5627.38,271.45,36046.06,26199.71,1924.14,2399.13,96.21,9846.34,0.00,False
2025-02-25,Fev,Ajustado,Tuesday,True,True,5564.76,268.43,35649.88,32339.98,1913.16,2378.35,95.66,8665.83,5355.93,False
2025-02-26,Fev,Ajustado,Wednesday,True,True,5737.86,276.78,35485.01,33072.06,1955.50,2315.20,97.78,7709.29,5296.34,False
2025-02-27,Fev,Ajustado,Thursday,True,True,5717.25,275.78,36208.85,40190.97,1957.07,2412.63,97.85,1478.96,5461.08,False
2025-02-28,Fev,Ajustado,Friday,True,True,5703.94,275.14,36182.09,30802.17,1940.34,2308.07,97.02,10821.38,5441.46,False
2025-03-01,Mar,Ajustado,Saturday,False,False,0.00,0.00,40707.07,36305.96,0.00,2258.16,0.00,9829.91,5428.80,False
2025-03-02,Mar,Ajustado,Sunday,False,False,0.00,0.00,37578.95,31853.35,0.00,2268.34,0.00,5725.60,0.00,False
2025-03-03,Mar,Ajustado,Monday,True,True,4220.85,203.60,27916.81,24436.21,1443.76,1757.53,72.19,3480.60,0.00,False
2025-03-04,Mar,Ajustado,Tuesday,True,True,4138.16,199.61,26197.23,23918.41,1411.87,1787.58,70.59,6296.07,4017.26,False
2025-03-05,Mar,Ajustado,Wednesday,True,True,5632.85,271.71,30615.99,32182.50,1943.48,2418.86,97.17,2372.04,3938.55,False
2025-03-06,Mar,Ajustado,Thursday,True,True,5574.16,268.88,34638.84,36586.47,1906.37,2319.78,95.32,3413.51,5361.14,False
2025-03-07,Mar,Ajustado,Friday,True,True,5470.33,263.87,32490.30,29420.43,1858.28,2205.19,92.91,8375.15,5305.28,False
2025-03-08,Mar,Ajustado,Saturday,False,False,0.00,0.00,40522.05,38282.96,0.00,2432.36,0.00,7445.55,5206.46,False
2025-03-09,Mar,Ajustado,Sunday,False,False,0.00,0.00,38833.50,33404.18,0.00,2381.99,0.00,5429.32,0.00,False
2025-03-10,Mar,Ajustado,Monday,True,True,5445.54,262.68,33455.26,27313.42,1852.00,2295.84,92.60,6141.85,0.00,False
2025-03-11,Mar,Ajustado,Tuesday,True,True,5571.55,268.75,34150.84,35996.43,1893.30,2385.10,94.66,3337.28,5182.87,False
2025-03-12,Mar,Ajustado,Wednesday,True,True,5591.11,269.70,31917.37,29361.48,1915.78,2324.87,95.79,7858.68,5302.79,False
