Medicao,Dia,Consumo_kWh,Mes,Tipo,MesOrdem
Consumo ativo Fora de Ponta,2025-11-01,44804.187,Nov,Real (pos-carga),0
Consumo ativo Fora de Ponta,2025-11-02,44826.508,Nov,Real (pos-carga),0
Consumo ativo Fora de Ponta,2025-11-03,35238.293,Nov,Real (pos-carga),0
Consumo ativo de Ponta,2025-11-03,5888.748,Nov,Real (pos-carga),0
Consumo ativo Fora de Ponta,2025-11-04,37405.118,Nov,Real (pos-carga),0
Consumo ativo de Ponta,2025-11-04,5764.668,Nov,Real (pos-carga),0
Consumo ativo Fora de Ponta,2025-11-05,40803.398,Nov,Real (pos-carga),0
Consumo ativo de Ponta,2025-11-05,5856.348,Nov,Real (pos-carga),0
Consumo ativo Fora de Ponta,2025-11-06,39793.36,Nov,Real (pos-carga),0
Consumo ativo de Ponta,2025-11-06,6309.947,Nov,Real (pos-carga),0
Consumo ativo Fora de Ponta,2025-11-07,38625.158,Nov,Real (pos-carga),0
Consumo ativo de Ponta,2025-11-07,5958.828,Nov,Real (pos-carga),0
Consumo ativo Fora de Ponta,2025-11-08,44532.747,Nov,Real (pos-carga),0
Consumo ativo Fora de Ponta,2025-11-09,42240.266,Nov,Real (pos-carga),0
Consumo ativo Fora de Ponta,2025-11-10,36132.278,Nov,Real (pos-carga),0
Consumo ativo de Ponta,2025-11-10,5574.228,Nov,Real (pos-carga),0
Consumo ativo Fora de Ponta,2025-11-11,36115.839,Nov,Real (pos-carga),0
Consumo ativo de Ponta,2025-11-11,5553.948,Nov,Real (pos-carga),0
Consumo ativo Fora de Ponta,2025-11-12,35995.001000000004,Nov,Real (pos-carga),0
Consumo ativo de Ponta,2025-11-12,5261.869,Nov,Real (pos-carga),0
Consumo ativo Fora de Ponta,2025-11-13,36339.76,Nov,Real (pos-carga),0
Consumo ativo de Ponta,2025-11-13,5759.508,Nov,Real (pos-carga),0
Consumo ativo Fora de Ponta,2025-11-14,36942.759,Nov,Real (pos-carga),0
Consumo ativo de Ponta,2025-11-14,7147.068,Nov,Real (pos-carga),0
Consumo ativo Fora de Ponta,2025-11-15,43821.266,Nov,Real (pos-carga),0
Consumo ativo Fora de Ponta,2025-11-16,38835.168,Nov,Real (pos-carga),0
Consumo ativo Fora de Ponta,2025-11-17,40861.479,Nov,Real (pos-carga),0
Consumo ativo de Ponta,2025-11-17,5995.908,Nov,Real (pos-carga),0
Consumo ativo Fora de Ponta,2025-11-18,38734.597,Nov,Real (pos-carga),0
Consumo ativo de Ponta,2025-11-18,6030.108,Nov,Real (pos-carga),0
Consumo ativo Fora de Ponta,2025-11-19,36937.609,Nov,Real (pos-carga),0
Consumo ativo de Ponta,2025-11-19,7952.387,Nov,Real (pos-carga),0
Consumo ativo Fora de Ponta,2025-11-20,38682.159,Nov,Real (pos-carga),0
Consumo ativo de Ponta,2025-11-20,8332.183,Nov,Real (pos-carga),0
Consumo ativo Fora de Ponta,2025-11-21,38592.649,Nov,Real (pos-carga),0
Consumo ativo de Ponta,2025-11-21,5682.709,Nov,Real (pos-carga),0
Consumo ativo Fora de Ponta,2025-11-22,45997.351,Nov,Real (pos-carga),0
Consumo ativo Fora de Ponta,2025-11-23,36415.006,Nov,Real (pos-carga),0
Consumo ativo Fora de Ponta,2025-11-24,36781.836,Nov,Real (pos-carga),0
Consumo ativo de Ponta,2025-11-24,5910.828,Nov,Real (pos-carga),0
Consumo ativo Fora de Ponta,2025-11-25,41059.238,Nov,Real (pos-carga),0
Consumo ativo de Ponta,2025-11-25,5859.228,Nov,Real (pos-carga),0
Consumo ativo Fora de Ponta,2025-11-26,38316.157,Nov,Real (pos-carga),0
Consumo ativo de Ponta,2025-11-26,5532.229,Nov,Real (pos-carga),0
Consumo ativo Fora de Ponta,2025-11-27,42061.358,Nov,Real (pos-carga),0
Consumo ativo de Ponta,2025-11-27,6280.668,Nov,Real (pos-carga),0
Consumo ativo Fora de Ponta,2025-11-28,41156.316,Nov,Real (pos-carga),0
Consumo ativo de Ponta,2025-11-28,6254.748,Nov,Real (pos-carga),0
Consumo ativo Fora de Ponta,2025-11-29,48784.346,Nov,Real (pos-carga),0
Consumo ativo Fora de Ponta,2025-11-30,41836.825,Nov,Real (pos-carga),0
Consumo ativo Fora de Ponta,2025-12-01,386.039,Nov,Real (pos-carga),0
Consumo ativo Fora de Ponta,2025-12-01,37066.358,Dez,Real (pos-carga),1
Consumo ativo de Ponta,2025-12-01,5930.508,Dez,Real (pos-carga),1
Consumo ativo Fora de Ponta,2025-12-02,36393.878,Dez,Real (pos-carga),1
Consumo ativo de Ponta,2025-12-02,5813.508,Dez,Real (pos-carga),1
Consumo ativo Fora de Ponta,2025-12-03,40104.158,Dez,Real (pos-carga),1
Consumo ativo de Ponta,2025-12-03,5911.668,Dez,Real (pos-carga),1
Consumo ativo Fora de Ponta,2025-12-04,37494.036,Dez,Real (pos-carga),1
Consumo ativo de Ponta,2025-12-04,6232.908,Dez,Real (pos-carga),1
Consumo ativo Fora de Ponta,2025-12-05,41015.436,Dez,Real (pos-carga),1
Consumo ativo de Ponta,2025-12-05,6429.708,Dez,Real (pos-carga),1
Consumo ativo Fora de Ponta,2025-12-06,45421.945,Dez,Real (pos-carga),1
Consumo ativo Fora de Ponta,2025-12-07,45196.587,Dez,Real (pos-carga),1
Consumo ativo Fora de Ponta,2025-12-08,37370.559,Dez,Real (pos-carga),1
Consumo ativo de Ponta,2025-12-08,6168.228,Dez,Real (pos-carga),1
Consumo ativo Fora de Ponta,2025-12-09,40519.956,Dez,Real (pos-carga),1
Consumo ativo de Ponta,2025-12-09,6192.468,Dez,Real (pos-carga),1
Consumo ativo Fora de Ponta,2025-12-10,37290.159,Dez,Real (pos-carga),1
Consumo ativo de Ponta,2025-12-10,6241.7880000000005,Dez,Real (pos-carga),1
Consumo ativo Fora de Ponta,2025-12-11,39874.596,Dez,Real (pos-carga),1
Consumo ativo de Ponta,2025-12-11,6049.908,Dez,Real (pos-carga),1
Consumo ativo Fora de Ponta,2025-12-12,38229.397,Dez,Real (pos-carga),1
Consumo ativo de Ponta,2025-12-12,6889.547,Dez,Real (pos-carga),1
Consumo ativo Fora de Ponta,2025-12-13,48042.385,Dez,Real (pos-carga),1
Consumo ativo Fora de Ponta,2025-12-14,47052.284,Dez,Real (pos-carga),1
Consumo ativo Fora de Ponta,2025-12-15,41140.838,Dez,Real (pos-carga),1
Consumo ativo de Ponta,2025-12-15,6167.028,Dez,Real (pos-carga),1
Consumo ativo Fora de Ponta,2025-12-16,43825.356,Dez,Real (pos-carga),1
Consumo ativo de Ponta,2025-12-16,6047.508,Dez,Real (pos-carga),1
Consumo ativo Fora de Ponta,2025-12-17,59956.916,Dez,Real (pos-carga),1
Consumo ativo de Ponta,2025-12-17,6206.148,Dez,Real (pos-carga),1
Consumo ativo Fora de Ponta,2025-12-18,55944.364,Dez,Real (pos-carga),1
Consumo ativo de Ponta,2025-12-18,7446.708,Dez,Real (pos-carga),1
Consumo ativo Fora de Ponta,2025-12-19,41924.195999999996,Dez,Real (pos-carga),1
Consumo ativo de Ponta,2025-12-19,6487.188,Dez,Real (pos-carga),1
Consumo ativo Fora de Ponta,2025-12-20,51304.944,Dez,Real (pos-carga),1
Consumo ativo Fora de Ponta,2025-12-21,48159.745,Dez,Real (pos-carga),1
Consumo ativo Fora de Ponta,2025-12-22,37936.835,Dez,Real (pos-carga),1
Consumo ativo de Ponta,2025-12-22,5329.669,Dez,Real (pos-carga),1
Consumo ativo Fora de Ponta,2025-12-23,40775.677,Dez,Real (pos-carga),1
Consumo ativo de Ponta,2025-12-23,6158.868,Dez,Real (pos-carga),1
Consumo ativo Fora de Ponta,2025-12-24,34761.523,Dez,Real (pos-carga),1
Consumo ativo de Ponta,2025-12-24,2632.197,Dez,Real (pos-carga),1
Consumo ativo Fora de Ponta,2025-12-25,28776.27,Dez,Real (pos-carga),1
Consumo ativo Fora de Ponta,2025-12-26,34565.076,Dez,Real (pos-carga),1
Consumo ativo de Ponta,2025-12-26,5924.868,Dez,Real (pos-carga),1
Consumo ativo Fora de Ponta,2025-12-27,42020.316,Dez,Real (pos-carga),1
Consumo ativo Fora de Ponta,2025-12-28,42942.748,Dez,Real (pos-carga),1
Consumo ativo Fora de Ponta,2025-12-29,32131.847999999998,Dez,Real (pos-carga),1
Consumo ativo de Ponta,2025-12-29,6358.068,Dez,Real (pos-carga),1
Consumo ativo Fora de Ponta,2025-12-30,33855.289,Dez,Real (pos-carga),1
Consumo ativo de Ponta,2025-12-30,7343.388,Dez,Real (pos-carga),1
