Dia,Consumo_kWh,Demanda_Max_kW,N_leituras,Mes,Tipo,MesOrdem
2025-11-03,5888.748,503.399,12,Nov,Real (pos-carga),0
2025-11-04,5764.668,493.799,12,Nov,Real (pos-carga),0
2025-11-05,5856.348,499.919,12,Nov,Real (pos-carga),0
2025-11-06,6309.947,504.359,13,Nov,Real (pos-carga),0
2025-11-07,5958.828,507.839,12,Nov,Real (pos-carga),0
2025-11-10,5574.228,481.919,12,Nov,Real (pos-carga),0
2025-11-11,5553.948,486.959,12,Nov,Real (pos-carga),0
2025-11-12,5261.869,504.719,11,Nov,Real (pos-carga),0
2025-11-13,5759.508,497.159,12,Nov,Real (pos-carga),0
2025-11-14,7147.068,631.799,12,Nov,Real (pos-carga),0
2025-11-17,5995.908,517.439,12,Nov,Real (pos-carga),0
2025-11-18,6030.108,508.919,12,Nov,Real (pos-carga),0
2025-11-19,7952.387,631.679,13,Nov,Real (pos-carga),0
2025-11-20,8332.183,725.398,13,Nov,Real (pos-carga),0
2025-11-21,5682.709,527.159,11,Nov,Real (pos-carga),0
2025-11-24,5910.828,507.479,12,Nov,Real (pos-carga),0
2025-11-25,5859.228,497.759,12,Nov,Real (pos-carga),0
2025-11-26,5532.229,525.599,11,Nov,Real (pos-carga),0
2025-11-27,6280.668,541.439,12,Nov,Real (pos-carga),0
2025-11-28,6254.748,530.279,12,Nov,Real (pos-carga),0
2025-12-01,5930.508,512.759,12,Dez,Real (pos-carga),1
2025-12-02,5813.508,491.399,12,Dez,Real (pos-carga),1
2025-12-03,5911.668,506.039,12,Dez,Real (pos-carga),1
2025-12-04,6232.908,534.359,12,Dez,Real (pos-carga),1
2025-12-05,6429.708,542.999,12,Dez,Real (pos-carga),1
2025-12-08,6168.228,520.679,12,Dez,Real (pos-carga),1
2025-12-09,6192.468,523.199,12,Dez,Real (pos-carga),1
2025-12-10,6241.7880000000005,534.959,12,Dez,Real (pos-carga),1
2025-12-11,6049.908,517.679,12,Dez,Real (pos-carga),1
2025-12-12,6889.547,544.919,13,Dez,Real (pos-carga),1
2025-12-15,6167.028,528.239,12,Dez,Real (pos-carga),1
2025-12-16,6047.508,529.199,12,Dez,Real (pos-carga),1
2025-12-17,6206.148,526.679,12,Dez,Real (pos-carga),1
2025-12-18,7446.708,629.639,12,Dez,Real (pos-carga),1
2025-12-19,6487.188,555.959,12,Dez,Real (pos-carga),1
2025-12-22,5329.669,499.679,11,Dez,Real (pos-carga),1
2025-12-23,6158.868,526.439,12,Dez,Real (pos-carga),1
2025-12-24,2632.197,399.239,13,Dez,Real (pos-carga),1
2025-12-26,5924.868,502.439,12,Dez,Real (pos-carga),1
2025-12-29,6358.068,550.439,12,Dez,Real (pos-carga),1
2025-12-30,7343.388,619.919,12,Dez,Real (pos-carga),1
2025-12-31,2624.277,407.999,12,Dez,Real (pos-carga),1
2026-01-05,5934.348,507.479,12,Jan,Real (pos-carga),2
2026-01-06,6059.268,520.679,12,Jan,Real (pos-carga),2
2026-01-07,6071.268,517.919,12,Jan,Real (pos-carga),2
2026-01-08,6091.908,527.639,12,Jan,Real (pos-carga),2
2026-01-09,6209.628,535.679,12,Jan,Real (pos-carga),2
2026-01-12,5906.268,503.639,12,Jan,Real (pos-carga),2
2026-01-13,5969.148,508.199,12,Jan,Real (pos-carga),2
2026-01-14,5889.948,505.439,12,Jan,Real (pos-carga),2
2026-01-15,5996.988,511.439,12,Jan,Real (pos-carga),2
2026-01-16,6036.708,514.919,12,Jan,Real (pos-carga),2
2026-01-19,5870.268,509.999,12,Jan,Real (pos-carga),2
2026-01-20,5842.068,496.439,12,Jan,Real (pos-carga),2
2026-01-21,5716.188,497.999,12,Jan,Real (pos-carga),2
2026-01-22,6920.388,602.999,12,Jan,Real (pos-carga),2
2026-01-23,6024.948,516.959,12,Jan,Real (pos-carga),2
