Dia,Consumo_kWh,Demanda_Max_kW,N_leituras,Mes,Tipo,MesOrdem
2025-11-01,21527.48,607.559,40,Nov,Real (pos-carga),0
2025-11-02,20608.04,615.479,40,Nov,Real (pos-carga),0
2025-11-03,21846.32,619.679,40,Nov,Real (pos-carga),0
2025-11-04,21142.4,620.759,40,Nov,Real (pos-carga),0
2025-11-05,22202.12,610.079,40,Nov,Real (pos-carga),0
2025-11-06,21949.76,610.319,40,Nov,Real (pos-carga),0
2025-11-07,21049.4,626.639,40,Nov,Real (pos-carga),0
2025-11-08,21539.48,626.639,40,Nov,Real (pos-carga),0
2025-11-09,19076.24,609.359,40,Nov,Real (pos-carga),0
2025-11-10,20744.96,617.999,40,Nov,Real (pos-carga),0
2025-11-11,20732.12,596.639,40,Nov,Real (pos-carga),0
2025-11-12,20017.882,604.319,40,Nov,Real (pos-carga),0
2025-11-13,20885.72,593.999,40,Nov,Real (pos-carga),0
2025-11-14,21795.8,613.439,40,Nov,Real (pos-carga),0
2025-11-15,21176.0,628.199,40,Nov,Real (pos-carga),0
2025-11-16,19643.482,633.359,40,Nov,Real (pos-carga),0
2025-11-17,22073.24,620.399,40,Nov,Real (pos-carga),0
2025-11-18,22022.48,626.759,40,Nov,Real (pos-carga),0
2025-11-19,20260.167,707.279,40,Nov,Real (pos-carga),0
2025-11-20,22211.72,613.199,40,Nov,Real (pos-carga),0
2025-11-21,22567.04,627.239,40,Nov,Real (pos-carga),0
2025-11-22,22784.72,626.759,40,Nov,Real (pos-carga),0
2025-11-23,18386.246,605.279,40,Nov,Real (pos-carga),0
2025-11-24,21269.84,618.239,40,Nov,Real (pos-carga),0
2025-11-25,22916.84,629.399,40,Nov,Real (pos-carga),0
2025-11-26,21529.16,625.559,40,Nov,Real (pos-carga),0
2025-11-27,22957.28,644.039,40,Nov,Real (pos-carga),0
2025-11-28,23304.8,637.319,40,Nov,Real (pos-carga),0
2025-11-29,22872.32,639.959,40,Nov,Real (pos-carga),0
2025-11-30,19645.52,623.279,40,Nov,Real (pos-carga),0
2025-12-01,21065.48,610.559,40,Dez,Real (pos-carga),1
2025-12-02,20645.96,603.119,40,Dez,Real (pos-carga),1
2025-12-03,21523.52,615.719,40,Dez,Real (pos-carga),1
2025-12-04,21643.4,639.239,40,Dez,Real (pos-carga),1
2025-12-05,21819.44,658.799,40,Dez,Real (pos-carga),1
2025-12-06,22153.88,654.959,40,Dez,Real (pos-carga),1
2025-12-07,21631.04,632.399,40,Dez,Real (pos-carga),1
2025-12-08,21389.12,625.199,40,Dez,Real (pos-carga),1
2025-12-09,21903.68,627.959,40,Dez,Real (pos-carga),1
2025-12-10,21178.281,626.999,40,Dez,Real (pos-carga),1
2025-12-11,21352.16,627.479,40,Dez,Real (pos-carga),1
2025-12-12,22408.16,631.919,40,Dez,Real (pos-carga),1
2025-12-13,22750.28,638.159,40,Dez,Real (pos-carga),1
2025-12-14,23792.124,720.718,40,Dez,Real (pos-carga),1
2025-12-15,22151.96,634.919,40,Dez,Real (pos-carga),1
2025-12-16,24975.558,726.958,40,Dez,Real (pos-carga),1
2025-12-17,37630.849,627.479,71,Dez,Real (pos-carga),1
2025-12-18,38296.004,620.159,76,Dez,Real (pos-carga),1
2025-12-19,22823.48,642.719,40,Dez,Real (pos-carga),1
2025-12-20,23002.16,645.959,40,Dez,Real (pos-carga),1
2025-12-21,21505.76,613.199,40,Dez,Real (pos-carga),1
2025-12-22,21431.36,609.239,40,Dez,Real (pos-carga),1
2025-12-23,21939.44,616.439,40,Dez,Real (pos-carga),1
2025-12-24,21111.08,597.719,40,Dez,Real (pos-carga),1
2025-12-25,12345.922,338.159,40,Dez,Real (pos-carga),1
2025-12-26,20087.84,612.479,40,Dez,Real (pos-carga),1
2025-12-27,20955.32,629.399,40,Dez,Real (pos-carga),1
2025-12-28,19436.0,596.999,40,Dez,Real (pos-carga),1
2025-12-29,17260.285,524.999,40,Dez,Real (pos-carga),1
2025-12-30,22258.508,797.998,40,Dez,Real (pos-carga),1
2025-12-31,21540.44,628.199,40,Dez,Real (pos-carga),1
2026-01-04,18305.72,600.239,40,Jan,Real (pos-carga),2
2026-01-05,20541.32,604.439,40,Jan,Real (pos-carga),2
2026-01-06,21501.44,619.679,40,Jan,Real (pos-carga),2
2026-01-07,20676.92,602.399,40,Jan,Real (pos-carga),2
2026-01-08,20976.68,611.999,40,Jan,Real (pos-carga),2
2026-01-09,20700.08,608.639,40,Jan,Real (pos-carga),2
2026-01-10,20629.28,621.719,40,Jan,Real (pos-carga),2
2026-01-11,20037.079999999998,627.479,40,Jan,Real (pos-carga),2
2026-01-12,20927.84,615.239,40,Jan,Real (pos-carga),2
2026-01-13,21342.2,627.239,40,Jan,Real (pos-carga),2
2026-01-14,20681.36,613.439,40,Jan,Real (pos-carga),2
2026-01-15,20672.0,617.399,40,Jan,Real (pos-carga),2
2026-01-16,21566.12,626.399,40,Jan,Real (pos-carga),2
2026-01-17,21989.36,629.399,40,Jan,Real (pos-carga),2
2026-01-18,18180.56,592.919,40,Jan,Real (pos-carga),2
2026-01-19,19352.122,592.439,40,Jan,Real (pos-carga),2
2026-01-20,20898.08,615.479,40,Jan,Real (pos-carga),2
2026-01-21,20424.92,602.639,40,Jan,Real (pos-carga),2
2026-01-22,20398.04,607.679,40,Jan,Real (pos-carga),2
2026-01-23,20919.2,592.919,40,Jan,Real (pos-carga),2
2026-01-24,20856.56,618.959,40,Jan,Real (pos-carga),2
2026-01-25,20000.72,611.999,40,Jan,Real (pos-carga),2
2026-01-26,21345.2,622.919,40,Jan,Real (pos-carga),2
2026-01-27,19566.68,574.919,40,Jan,Real (pos-carga),2
2026-01-28,20179.88,586.439,40,Jan,Real (pos-carga),2
2026-01-29,19738.04,589.919,40,Jan,Real (pos-carga),2
2026-01-30,20194.04,591.479,40,Jan,Real (pos-carga),2
2026-01-31,20203.28,610.919,40,Jan,Real (pos-carga),2
2025-02-01,20823.54403741643,601.1848220596568,40,Fev,Ajustado (delta),3
2025-02-02,18853.191106870054,604.4288642753219,40,Fev,Ajustado (delta),3
2025-02-03,19847.53903337998,599.3681584188844,40,Fev,Ajustado (delta),3
2025-02-04,21307.73495420182,611.8252805270384,40,Fev,Ajustado (delta),3
2025-02-05,20969.2817451775,597.4217330894853,40,Fev,Ajustado (delta),3
2025-02-06,20373.85387181863,611.306233772532,39,Fev,Ajustado (delta),3
2025-02-07,21554.25975718323,611.955042215665,40,Fev,Ajustado (delta),3
2025-02-08,21230.487819161302,619.6109818446348,40,Fev,Ajustado (delta),3
2025-02-09,18883.064731936716,614.9395610540769,40,Fev,Ajustado (delta),3
