slot,horario,cons_hp,cons_fp,dem_hp,dem_fp,bess_charge,bess_discharge,hp_residual,soc
0,00:00,0.00,345.00,0.00,1380.00,0.00,0.00,0.00,0.00
1,00:15,0.00,342.00,0.00,1369.92,0.00,0.00,0.00,0.00
2,00:30,0.00,338.40,0.00,1353.60,0.00,0.00,0.00,0.00
3,00:45,0.00,334.44,0.00,1330.56,0.00,0.00,0.00,0.00
4,01:00,0.00,330.96,0.00,1329.60,0.00,0.00,0.00,0.00
5,01:15,0.00,328.44,0.00,1320.00,0.00,0.00,0.00,0.00
6,01:30,0.00,325.26,0.00,1308.96,0.00,0.00,0.00,0.00
7,01:45,0.00,321.96,0.00,1290.96,0.00,0.00,0.00,0.00
8,02:00,0.00,318.96,0.00,1275.84,0.00,0.00,0.00,0.00
9,02:15,0.00,315.96,0.00,1261.92,0.00,0.00,0.00,0.00
10,02:30,0.00,313.62,0.00,1256.64,0.00,0.00,0.00,0.00
11,02:45,0.00,312.72,0.00,1245.60,0.00,0.00,0.00,0.00
12,03:00,0.00,309.96,0.00,1244.16,0.00,0.00,0.00,0.00
13,03:15,0.00,309.48,0.00,1237.92,0.00,0.00,0.00,0.00
14,03:30,0.00,309.00,0.00,1234.56,0.00,0.00,0.00,0.00
15,03:45,0.00,309.00,0.00,1236.00,0.00,0.00,0.00,0.00
16,04:00,0.00,307.92,0.00,1227.84,0.00,0.00,0.00,0.00
17,04:15,0.00,307.20,0.00,1231.68,0.00,0.00,0.00,0.00
18,04:30,0.00,307.92,0.00,1229.76,0.00,0.00,0.00,0.00
19,04:45,0.00,309.00,0.00,1231.68,0.00,0.00,0.00,0.00
20,05:00,0.00,309.84,0.00,1237.44,0.00,0.00,0.00,0.00
21,05:15,0.00,310.44,0.00,1239.84,0.00,0.00,0.00,0.00
22,05:30,0.00,310.92,0.00,1237.92,0.00,0.00,0.00,0.00
23,05:45,0.00,310.44,0.00,1241.76,0.00,0.00,0.00,0.00
24,06:00,0.00,310.56,0.00,1248.00,0.00,0.00,0.00,0.00
25,06:15,0.00,312.42,0.00,1248.00,0.00,0.00,0.00,0.00
26,06:30,0.00,314.40,0.00,1251.84,0.00,0.00,0.00,0.00
27,06:45,0.00,316.92,0.00,1265.76,0.00,0.00,0.00,0.00
28,07:00,0.00,319.92,0.00,1276.80,0.00,0.00,0.00,0.00
29,07:15,0.00,324.72,0.00,1300.80,0.00,0.00,0.00,0.00
30,07:30,0.00,333.48,0.00,1337.76,0.00,0.00,0.00,0.00
31,07:45,0.00,345.00,0.00,1380.00,0.00,0.00,0.00,0.00
32,08:00,0.00,358.44,0.00,1434.72,0.00,0.00,0.00,0.00
33,08:15,0.00,381.12,0.00,1526.88,0.00,0.00,0.00,0.00
34,08:30,0.00,398.64,0.00,1608.00,0.00,0.00,0.00,0.00
35,08:45,0.00,414.00,0.00,1653.60,0.00,0.00,0.00,0.00
36,09:00,0.00,426.96,0.00,1698.24,250.00,0.00,0.00,250.00
37,09:15,0.00,385.86,0.00,1553.76,250.00,0.00,0.00,500.00
38,09:30,0.00,300.96,0.00,1212.96,250.00,0.00,0.00,750.00
39,09:45,0.00,324.72,0.00,1299.84,250.00,0.00,0.00,1000.00
40,10:00,0.00,406.92,0.00,1623.84,250.00,0.00,0.00,1250.00
41,10:15,0.00,520.08,0.00,2082.00,250.00,0.00,0.00,1500.00
42,10:30,0.00,537.66,0.00,2147.04,250.00,0.00,0.00,1750.00
43,10:45,0.00,541.92,0.00,2170.55,250.00,0.00,0.00,2000.00
44,11:00,0.00,544.92,0.00,2171.99,250.00,0.00,0.00,2250.00
45,11:15,0.00,546.72,0.00,2186.88,250.00,0.00,0.00,2500.00
46,11:30,0.00,550.92,0.00,2201.76,250.00,0.00,0.00,2750.00
47,11:45,0.00,552.00,0.00,2211.84,250.00,0.00,0.00,3000.00
48,12:00,0.00,552.00,0.00,2206.80,250.00,0.00,0.00,3250.00
49,12:15,0.00,551.40,0.00,2223.84,250.00,0.00,0.00,3500.00
50,12:30,0.00,554.16,0.00,2224.80,250.00,0.00,0.00,3750.00
51,12:45,0.00,555.96,0.00,2223.84,250.00,0.00,0.00,4000.00
52,13:00,0.00,559.80,0.00,2226.24,250.00,0.00,0.00,4250.00
53,13:15,0.00,559.26,0.00,2235.84,250.00,0.00,0.00,4500.00
54,13:30,0.00,557.76,0.00,2223.84,250.00,0.00,0.00,4750.00
55,13:45,0.00,561.00,0.00,2231.99,250.00,0.00,0.00,5000.00
56,14:00,0.00,559.92,0.00,2247.36,250.00,0.00,0.00,5250.00
57,14:15,0.00,560.40,0.00,2241.59,250.00,0.00,0.00,5500.00
58,14:30,0.00,556.14,0.00,2230.80,250.00,0.00,0.00,5750.00
59,14:45,0.00,556.68,0.00,2223.84,250.00,0.00,0.00,6000.00
60,15:00,0.00,555.48,0.00,2213.76,0.00,0.00,0.00,6000.00
61,15:15,0.00,556.92,0.00,2227.91,0.00,0.00,0.00,6000.00
62,15:30,0.00,552.96,0.00,2214.95,0.00,0.00,0.00,6000.00
63,15:45,0.00,555.00,0.00,2221.91,0.00,0.00,0.00,6000.00
64,16:00,0.00,555.00,0.00,2227.68,0.00,0.00,0.00,6000.00
65,16:15,0.00,550.92,0.00,2193.59,0.00,0.00,0.00,6000.00
66,16:30,0.00,552.96,0.00,2191.68,0.00,0.00,0.00,6000.00
67,16:45,0.00,544.92,0.00,2199.84,0.00,0.00,0.00,6000.00
68,17:00,0.00,546.00,0.00,2185.91,0.00,0.00,0.00,6000.00
69,17:15,0.00,493.92,0.00,1973.76,0.00,0.00,0.00,6000.00
70,17:30,474.60,448.92,1898.40,1784.64,0.00,450.87,23.73,5549.13
71,17:45,479.12,450.00,1916.48,1803.84,0.00,455.16,23.96,5093.97
72,18:00,468.64,450.48,1874.56,1803.84,0.00,445.21,23.43,4648.76
73,18:15,444.96,475.56,1785.60,1903.68,0.00,424.08,20.88,4224.68
74,18:30,445.68,489.00,1779.84,1957.44,0.00,422.71,22.97,3801.97
75,18:45,448.44,474.96,1806.72,1899.84,0.00,429.10,19.34,3372.88
76,19:00,451.68,447.32,1805.76,1789.28,0.00,428.87,22.81,2944.01
77,19:15,448.44,444.28,1800.00,1777.12,0.00,427.50,20.94,2516.51
78,19:30,450.96,447.32,1803.84,1789.28,0.00,428.41,22.55,2088.10
79,19:45,447.48,448.28,1800.00,1793.12,0.00,427.50,19.98,1660.60
80,20:00,449.40,450.12,1797.60,1800.48,0.00,426.93,22.47,1233.67
