Timestamp,Valor,Medicao,Grandeza
2025-08-01 00:00:00,3129,Tolerância Contratado de Ponta,Demanda
2025-08-01 00:00:00,0,Contratado de Ponta,Demanda
2025-08-01 00:00:00,3444,Tolerância Contratado fora de Ponta,Demanda
2025-08-01 00:00:00,3280,Contratada fora de Ponta,Demanda
2025-08-01 00:00:00,3280,Contratada fora de Ponta,Demanda
2025-08-01 00:00:00,3129,Tolerância Contratado de Ponta,Demanda
2025-08-01 00:00:00,0,Contratada fora de Ponta,Demanda
2025-08-01 00:00:00,2980,Contratado de Ponta,Demanda
2025-08-01 00:00:00,0,Tolerância Contratado de Ponta,Demanda
2025-08-01 00:00:00,3444,Tolerância Contratado fora de Ponta,Demanda
2025-08-01 00:00:00,2980,Contratado de Ponta,Demanda
2025-08-01 00:00:00,0,Tolerância Contratado fora de Ponta,Demanda
2025-08-01 00:12:43,327.839,Demanda Reativa,Demanda
2025-08-01 00:12:43,81.96,Consumo Reativo,Consumo
2025-08-01 00:17:43,1411.677,Demanda ativa Fora de Ponta,Demanda
2025-08-01 00:17:43,352.919,Consumo ativo Fora de Ponta,Consumo
2025-08-01 00:27:42,345.599,Demanda Reativa,Demanda
2025-08-01 00:27:42,86.4,Consumo Reativo,Consumo
2025-08-01 00:32:42,343.919,Consumo ativo Fora de Ponta,Consumo
2025-08-01 00:32:42,1375.677,Demanda ativa Fora de Ponta,Demanda
2025-08-01 00:42:42,0,Consumo Reativo Capacitivo,Consumo
2025-08-01 00:42:42,0,Demanda Reativa Capacitiva,Demanda
2025-08-01 00:42:42,0,Consumo Reativo,Consumo
2025-08-01 00:42:42,0,Demanda Reativa,Demanda
2025-08-01 00:47:42,340.919,Consumo ativo Fora de Ponta,Consumo
2025-08-01 00:47:42,1363.677,Demanda ativa Fora de Ponta,Demanda
2025-08-01 00:57:44,0,Consumo Reativo Capacitivo,Consumo
2025-08-01 00:57:44,0,Demanda Reativa Capacitiva,Demanda
2025-08-01 00:57:44,0,Consumo Reativo,Consumo
2025-08-01 00:57:44,0,Demanda Reativa,Demanda
2025-08-01 01:00:00,3129,Tolerância Contratado de Ponta,Demanda
2025-08-01 01:00:00,3129,Tolerância Contratado de Ponta,Demanda
2025-08-01 01:00:00,2980,Contratado de Ponta,Demanda
2025-08-01 01:00:00,2980,Contratado de Ponta,Demanda
2025-08-01 01:00:00,3129,Tolerância Contratado de Ponta,Demanda
2025-08-01 01:00:00,2980,Contratado de Ponta,Demanda
2025-08-01 01:00:00,3444,Tolerância Contratado fora de Ponta,Demanda
2025-08-01 01:00:00,3280,Contratada fora de Ponta,Demanda
2025-08-01 01:00:00,3280,Contratada fora de Ponta,Demanda
2025-08-01 01:00:00,3444,Tolerância Contratado fora de Ponta,Demanda
2025-08-01 01:00:00,3280,Contratada fora de Ponta,Demanda
2025-08-01 01:00:00,3444,Tolerância Contratado fora de Ponta,Demanda
2025-08-01 01:02:44,331.919,Consumo ativo Fora de Ponta,Consumo
