Timestamp,Valor,Medicao,Grandeza
2025-12-01 00:00:00,2980,Contratado de Ponta,Demanda
2025-12-01 00:00:00,0,Tolerância Contratado fora de Ponta,Demanda
2025-12-01 00:00:00,3444,Tolerância Contratado fora de Ponta,Demanda
2025-12-01 00:00:00,3444,Tolerância Contratado fora de Ponta,Demanda
2025-12-01 00:00:00,3280,Contratada fora de Ponta,Demanda
2025-12-01 00:00:00,3280,Contratada fora de Ponta,Demanda
2025-12-01 00:00:00,0,Contratada fora de Ponta,Demanda
2025-12-01 00:00:00,3129,Tolerância Contratado de Ponta,Demanda
2025-12-01 00:00:00,3129,Tolerância Contratado de Ponta,Demanda
2025-12-01 00:00:00,0,Contratado de Ponta,Demanda
2025-12-01 00:00:00,2980,Contratado de Ponta,Demanda
2025-12-01 00:00:00,0,Tolerância Contratado de Ponta,Demanda
2025-12-01 00:12:31,393.599,Demanda Reativa,Demanda
2025-12-01 00:12:31,98.4,Consumo Reativo,Consumo
2025-12-01 00:17:31,1530.717,Demanda ativa Fora de Ponta,Demanda
2025-12-01 00:17:31,382.679,Consumo ativo Fora de Ponta,Consumo
2025-12-01 00:27:32,407.999,Demanda Reativa,Demanda
2025-12-01 00:27:32,102,Consumo Reativo,Consumo
2025-12-01 00:32:32,380.399,Consumo ativo Fora de Ponta,Consumo
2025-12-01 00:32:32,1521.597,Demanda ativa Fora de Ponta,Demanda
2025-12-01 00:42:31,0,Consumo Reativo Capacitivo,Consumo
2025-12-01 00:42:31,0,Demanda Reativa,Demanda
2025-12-01 00:42:31,0,Demanda Reativa Capacitiva,Demanda
2025-12-01 00:42:31,0,Consumo Reativo,Consumo
2025-12-01 00:47:31,1486.557,Demanda ativa Fora de Ponta,Demanda
2025-12-01 00:47:31,371.639,Consumo ativo Fora de Ponta,Consumo
2025-12-01 00:57:32,0,Demanda Reativa Capacitiva,Demanda
2025-12-01 00:57:32,0,Consumo Reativo,Consumo
2025-12-01 00:57:32,0,Consumo Reativo Capacitivo,Consumo
2025-12-01 00:57:32,0,Demanda Reativa,Demanda
2025-12-01 01:00:00,2980,Contratado de Ponta,Demanda
2025-12-01 01:00:00,3129,Tolerância Contratado de Ponta,Demanda
2025-12-01 01:00:00,2980,Contratado de Ponta,Demanda
2025-12-01 01:00:00,2980,Contratado de Ponta,Demanda
2025-12-01 01:00:00,3129,Tolerância Contratado de Ponta,Demanda
2025-12-01 01:00:00,3129,Tolerância Contratado de Ponta,Demanda
2025-12-01 01:00:00,3280,Contratada fora de Ponta,Demanda
2025-12-01 01:00:00,3444,Tolerância Contratado fora de Ponta,Demanda
2025-12-01 01:00:00,3280,Contratada fora de Ponta,Demanda
2025-12-01 01:00:00,3280,Contratada fora de Ponta,Demanda
2025-12-01 01:00:00,3444,Tolerância Contratado fora de Ponta,Demanda
2025-12-01 01:00:00,3444,Tolerância Contratado fora de Ponta,Demanda
2025-12-01 01:02:32,1472.157,Demanda ativa Fora de Ponta,Demanda
2025-12-01 01:02:32,368.039,Consumo ativo Fora de Ponta,Consumo
2025-12-01 01:12:31,0,Demanda Reativa Capacitiva,Demanda
2025-12-01 01:12:31,0,Consumo Reativo,Consumo
2025-12-01 01:12:31,0,Consumo Reativo Capacitivo,Consumo
2025-12-01 01:12:31,0,Demanda Reativa,Demanda
2025-12-01 01:17:31,1459.677,Demanda ativa Fora de Ponta,Demanda
2025-12-01 01:17:31,364.919,Consumo ativo Fora de Ponta,Consumo
2025-12-01 01:27:31,0,Demanda Reativa,Demanda
2025-12-01 01:27:31,0,Consumo Reativo Capacitivo,Consumo
2025-12-01 01:27:31,0,Demanda Reativa Capacitiva,Demanda
2025-12-01 01:27:31,0,Consumo Reativo,Consumo
2025-12-01 01:32:31,1447.197,Demanda ativa Fora de Ponta,Demanda
2025-12-01 01:32:31,361.799,Consumo ativo Fora de Ponta,Consumo
2025-12-01 01:42:32,0,Demanda Reativa,Demanda
2025-12-01 01:42:32,0,Demanda Reativa Capacitiva,Demanda
2025-12-01 01:42:32,0,Consumo Reativo,Consumo
2025-12-01 01:42:32,0,Consumo Reativo Capacitivo,Consumo
2025-12-01 01:47:32,1442.397,Demanda ativa Fora de Ponta,Demanda
2025-12-01 01:47:32,360.599,Consumo ativo Fora de Ponta,Consumo
2025-12-01 01:57:31,0,Consumo Reativo,Consumo
2025-12-01 01:57:31,0,Demanda Reativa,Demanda
2025-12-01 01:57:31,0,Consumo Reativo Capacitivo,Consumo
2025-12-01 01:57:31,0,Demanda Reativa Capacitiva,Demanda
2025-12-01 02:00:00,3129,Tolerância Contratado de Ponta,Demanda
2025-12-01 02:00:00,3129,Tolerância Contratado de Ponta,Demanda
2025-12-01 02:00:00,3129,Tolerância Contratado de Ponta,Demanda
2025-12-01 02:00:00,3280,Contratada fora de Ponta,Demanda
2025-12-01 02:00:00,2980,Contratado de Ponta,Demanda
2025-12-01 02:00:00,3280,Contratada fora de Ponta,Demanda
2025-12-01 02:00:00,3444,Tolerância Contratado fora de Ponta,Demanda
2025-12-01 02:00:00,3444,Tolerância Contratado fora de Ponta,Demanda
2025-12-01 02:00:00,2980,Contratado de Ponta,Demanda
2025-12-01 02:00:00,2980,Contratado de Ponta,Demanda
2025-12-01 02:00:00,3280,Contratada fora de Ponta,Demanda
2025-12-01 02:00:00,3444,Tolerância Contratado fora de Ponta,Demanda
2025-12-01 02:02:31,1433.277,Demanda ativa Fora de Ponta,Demanda
2025-12-01 02:02:31,358.319,Consumo ativo Fora de Ponta,Consumo
2025-12-01 02:12:31,0,Demanda Reativa Capacitiva,Demanda
2025-12-01 02:12:31,0,Consumo Reativo Capacitivo,Consumo
2025-12-01 02:12:31,0,Demanda Reativa,Demanda
2025-12-01 02:12:31,0,Consumo Reativo,Consumo
2025-12-01 02:17:31,352.799,Consumo ativo Fora de Ponta,Consumo
2025-12-01 02:17:31,1411.197,Demanda ativa Fora de Ponta,Demanda
2025-12-01 02:27:31,0,Consumo Reativo Capacitivo,Consumo
2025-12-01 02:27:31,0,Demanda Reativa Capacitiva,Demanda
2025-12-01 02:27:31,0,Demanda Reativa,Demanda
2025-12-01 02:27:31,0,Consumo Reativo,Consumo
2025-12-01 02:32:31,335.279,Consumo ativo Fora de Ponta,Consumo
2025-12-01 02:32:31,1341.117,Demanda ativa Fora de Ponta,Demanda
2025-12-01 02:42:31,0,Consumo Reativo,Consumo
2025-12-01 02:42:31,0,Consumo Reativo Capacitivo,Consumo
2025-12-01 02:42:31,0,Demanda Reativa,Demanda
2025-12-01 02:42:31,0,Demanda Reativa Capacitiva,Demanda
2025-12-01 02:47:31,327.239,Consumo ativo Fora de Ponta,Consumo
2025-12-01 02:47:31,1308.957,Demanda ativa Fora de Ponta,Demanda
2025-12-01 02:57:31,0,Consumo Reativo,Consumo
2025-12-01 02:57:31,0,Demanda Reativa,Demanda
2025-12-01 02:57:31,0,Consumo Reativo Capacitivo,Consumo
2025-12-01 02:57:31,0,Demanda Reativa Capacitiva,Demanda
2025-12-01 03:00:00,3280,Contratada fora de Ponta,Demanda
2025-12-01 03:00:00,3129,Tolerância Contratado de Ponta,Demanda
2025-12-01 03:00:00,2980,Contratado de Ponta,Demanda
2025-12-01 03:00:00,3129,Tolerância Contratado de Ponta,Demanda
2025-12-01 03:00:00,3129,Tolerância Contratado de Ponta,Demanda
2025-12-01 03:00:00,3444,Tolerância Contratado fora de Ponta,Demanda
2025-12-01 03:00:00,3444,Tolerância Contratado fora de Ponta,Demanda
2025-12-01 03:00:00,3280,Contratada fora de Ponta,Demanda
2025-12-01 03:00:00,3280,Contratada fora de Ponta,Demanda
2025-12-01 03:00:00,2980,Contratado de Ponta,Demanda
2025-12-01 03:00:00,2980,Contratado de Ponta,Demanda
2025-12-01 03:00:00,3444,Tolerância Contratado fora de Ponta,Demanda
2025-12-01 03:02:31,324.959,Consumo ativo Fora de Ponta,Consumo
2025-12-01 03:02:31,1299.837,Demanda ativa Fora de Ponta,Demanda
2025-12-01 03:12:31,0,Demanda Reativa Capacitiva,Demanda
2025-12-01 03:12:31,0,Demanda Reativa,Demanda
2025-12-01 03:12:31,0,Consumo Reativo Capacitivo,Consumo
2025-12-01 03:12:31,0,Consumo Reativo,Consumo
2025-12-01 03:17:31,321.839,Consumo ativo Fora de Ponta,Consumo
2025-12-01 03:17:31,1287.357,Demanda ativa Fora de Ponta,Demanda
2025-12-01 03:27:31,0,Demanda Reativa,Demanda
2025-12-01 03:27:31,0,Demanda Reativa Capacitiva,Demanda
2025-12-01 03:27:31,0,Consumo Reativo,Consumo
2025-12-01 03:27:31,0,Consumo Reativo Capacitivo,Consumo
2025-12-01 03:32:31,1282.557,Demanda ativa Fora de Ponta,Demanda
2025-12-01 03:32:31,320.639,Consumo ativo Fora de Ponta,Consumo
2025-12-01 03:42:31,0,Demanda Reativa,Demanda
2025-12-01 03:42:31,0,Consumo Reativo Capacitivo,Consumo
2025-12-01 03:42:31,0,Consumo Reativo,Consumo
2025-12-01 03:42:31,0,Demanda Reativa Capacitiva,Demanda
2025-12-01 03:47:31,322.559,Consumo ativo Fora de Ponta,Consumo
2025-12-01 03:47:31,1290.237,Demanda ativa Fora de Ponta,Demanda
2025-12-01 03:57:31,0,Demanda Reativa,Demanda
2025-12-01 03:57:31,0,Consumo Reativo Capacitivo,Consumo
2025-12-01 03:57:31,0,Consumo Reativo,Consumo
2025-12-01 03:57:31,0,Demanda Reativa Capacitiva,Demanda
2025-12-01 04:00:00,2980,Contratado de Ponta,Demanda
2025-12-01 04:00:00,2980,Contratado de Ponta,Demanda
2025-12-01 04:00:00,2980,Contratado de Ponta,Demanda
2025-12-01 04:00:00,3280,Contratada fora de Ponta,Demanda
2025-12-01 04:00:00,3280,Contratada fora de Ponta,Demanda
2025-12-01 04:00:00,3280,Contratada fora de Ponta,Demanda
2025-12-01 04:00:00,3444,Tolerância Contratado fora de Ponta,Demanda
2025-12-01 04:00:00,3129,Tolerância Contratado de Ponta,Demanda
2025-12-01 04:00:00,3444,Tolerância Contratado fora de Ponta,Demanda
2025-12-01 04:00:00,3444,Tolerância Contratado fora de Ponta,Demanda
2025-12-01 04:00:00,3129,Tolerância Contratado de Ponta,Demanda
2025-12-01 04:00:00,3129,Tolerância Contratado de Ponta,Demanda
2025-12-01 04:02:31,1291.677,Demanda ativa Fora de Ponta,Demanda
2025-12-01 04:02:31,322.919,Consumo ativo Fora de Ponta,Consumo
2025-12-01 04:12:30,0,Demanda Reativa Capacitiva,Demanda
2025-12-01 04:12:30,0,Consumo Reativo,Consumo
2025-12-01 04:12:30,0,Consumo Reativo Capacitivo,Consumo
2025-12-01 04:12:30,0,Demanda Reativa,Demanda
2025-12-01 04:17:30,320.159,Consumo ativo Fora de Ponta,Consumo
2025-12-01 04:17:30,1280.637,Demanda ativa Fora de Ponta,Demanda
2025-12-01 04:27:31,0,Demanda Reativa Capacitiva,Demanda
2025-12-01 04:27:31,0,Demanda Reativa,Demanda
2025-12-01 04:27:31,0,Consumo Reativo,Consumo
2025-12-01 04:27:31,0,Consumo Reativo Capacitivo,Consumo
2025-12-01 04:32:31,1288.797,Demanda ativa Fora de Ponta,Demanda
2025-12-01 04:32:31,322.199,Consumo ativo Fora de Ponta,Consumo
2025-12-01 04:42:31,0,Consumo Reativo Capacitivo,Consumo
2025-12-01 04:42:31,0,Demanda Reativa,Demanda
2025-12-01 04:42:31,0,Demanda Reativa Capacitiva,Demanda
2025-12-01 04:42:31,0,Consumo Reativo,Consumo
2025-12-01 04:47:31,323.759,Consumo ativo Fora de Ponta,Consumo
2025-12-01 04:47:31,1295.037,Demanda ativa Fora de Ponta,Demanda
2025-12-01 04:57:32,0,Demanda Reativa,Demanda
2025-12-01 04:57:32,0,Demanda Reativa Capacitiva,Demanda
2025-12-01 04:57:32,0,Consumo Reativo Capacitivo,Consumo
2025-12-01 04:57:32,0,Consumo Reativo,Consumo
2025-12-01 05:00:00,3444,Tolerância Contratado fora de Ponta,Demanda
2025-12-01 05:00:00,3444,Tolerância Contratado fora de Ponta,Demanda
2025-12-01 05:00:00,3444,Tolerância Contratado fora de Ponta,Demanda
2025-12-01 05:00:00,3129,Tolerância Contratado de Ponta,Demanda
2025-12-01 05:00:00,3129,Tolerância Contratado de Ponta,Demanda
2025-12-01 05:00:00,3280,Contratada fora de Ponta,Demanda
2025-12-01 05:00:00,3280,Contratada fora de Ponta,Demanda
2025-12-01 05:00:00,2980,Contratado de Ponta,Demanda
2025-12-01 05:00:00,2980,Contratado de Ponta,Demanda
2025-12-01 05:00:00,2980,Contratado de Ponta,Demanda
2025-12-01 05:00:00,3280,Contratada fora de Ponta,Demanda
2025-12-01 05:00:00,3129,Tolerância Contratado de Ponta,Demanda
2025-12-01 05:02:32,1298.397,Demanda ativa Fora de Ponta,Demanda
2025-12-01 05:02:32,324.599,Consumo ativo Fora de Ponta,Consumo
2025-12-01 05:12:30,0,Consumo Reativo Capacitivo,Consumo
2025-12-01 05:12:30,0,Demanda Reativa Capacitiva,Demanda
2025-12-01 05:12:30,0,Demanda Reativa,Demanda
