Timestamp,Valor,Medicao,Grandeza
2026-01-22 00:00:00,0,Contratada fora de Ponta,Demanda
2026-01-22 00:00:00,3280,Contratada fora de Ponta,Demanda
2026-01-22 00:00:00,0,Contratado de Ponta,Demanda
2026-01-22 00:00:00,3444,Tolerância Contratado fora de Ponta,Demanda
2026-01-22 00:00:00,2980,Contratado de Ponta,Demanda
2026-01-22 00:00:00,3129,Tolerância Contratado de Ponta,Demanda
2026-01-22 00:00:00,2980,Contratado de Ponta,Demanda
2026-01-22 00:00:00,0,Tolerância Contratado de Ponta,Demanda
2026-01-22 00:00:00,3444,Tolerância Contratado fora de Ponta,Demanda
2026-01-22 00:00:00,0,Tolerância Contratado fora de Ponta,Demanda
2026-01-22 00:00:00,3280,Contratada fora de Ponta,Demanda
2026-01-22 00:00:00,3129,Tolerância Contratado de Ponta,Demanda
2026-01-22 00:12:26,81,Consumo Reativo,Consumo
2026-01-22 00:12:26,323.999,Demanda Reativa,Demanda
2026-01-22 00:17:26,327.479,Consumo ativo Fora de Ponta,Consumo
2026-01-22 00:17:26,1309.917,Demanda ativa Fora de Ponta,Demanda
2026-01-22 00:27:25,70.92,Consumo Reativo,Consumo
2026-01-22 00:27:25,283.679,Demanda Reativa,Demanda
2026-01-22 00:32:25,292.679,Consumo ativo Fora de Ponta,Consumo
2026-01-22 00:32:25,1170.718,Demanda ativa Fora de Ponta,Demanda
2026-01-22 00:42:26,72.96,Consumo Reativo,Consumo
2026-01-22 00:42:26,291.839,Demanda Reativa,Demanda
2026-01-22 00:47:26,1151.998,Demanda ativa Fora de Ponta,Demanda
2026-01-22 00:47:26,287.999,Consumo ativo Fora de Ponta,Consumo
2026-01-22 00:57:26,0,Consumo Reativo,Consumo
2026-01-22 00:57:26,0,Demanda Reativa,Demanda
2026-01-22 00:57:26,0,Demanda Reativa Capacitiva,Demanda
2026-01-22 00:57:26,0,Consumo Reativo Capacitivo,Consumo
2026-01-22 01:00:00,3129,Tolerância Contratado de Ponta,Demanda
2026-01-22 01:00:00,3280,Contratada fora de Ponta,Demanda
2026-01-22 01:00:00,2980,Contratado de Ponta,Demanda
2026-01-22 01:00:00,2980,Contratado de Ponta,Demanda
2026-01-22 01:00:00,2980,Contratado de Ponta,Demanda
2026-01-22 01:00:00,3129,Tolerância Contratado de Ponta,Demanda
2026-01-22 01:00:00,3444,Tolerância Contratado fora de Ponta,Demanda
2026-01-22 01:00:00,3444,Tolerância Contratado fora de Ponta,Demanda
2026-01-22 01:00:00,3280,Contratada fora de Ponta,Demanda
2026-01-22 01:00:00,3280,Contratada fora de Ponta,Demanda
2026-01-22 01:00:00,3129,Tolerância Contratado de Ponta,Demanda
2026-01-22 01:00:00,3444,Tolerância Contratado fora de Ponta,Demanda
2026-01-22 01:02:26,1314.717,Demanda ativa Fora de Ponta,Demanda
2026-01-22 01:02:26,328.679,Consumo ativo Fora de Ponta,Consumo
2026-01-22 01:12:27,0,Demanda Reativa Capacitiva,Demanda
2026-01-22 01:12:27,0,Demanda Reativa,Demanda
2026-01-22 01:12:27,0,Consumo Reativo,Consumo
2026-01-22 01:12:27,0,Consumo Reativo Capacitivo,Consumo
2026-01-22 01:17:27,1338.717,Demanda ativa Fora de Ponta,Demanda
2026-01-22 01:17:27,334.679,Consumo ativo Fora de Ponta,Consumo
2026-01-22 01:27:27,0,Consumo Reativo,Consumo
2026-01-22 01:27:27,0,Consumo Reativo Capacitivo,Consumo
2026-01-22 01:27:27,0,Demanda Reativa,Demanda
2026-01-22 01:27:27,0,Demanda Reativa Capacitiva,Demanda
2026-01-22 01:32:27,1328.637,Demanda ativa Fora de Ponta,Demanda
2026-01-22 01:32:27,332.159,Consumo ativo Fora de Ponta,Consumo
