Timestamp,Valor,Medicao,Grandeza
2025-02-01 00:00:00,3444,Tolerância Contratado fora de Ponta,Demanda
2025-02-01 00:00:00,3129,Tolerância Contratado de Ponta,Demanda
2025-02-01 00:00:00,0,Contratada fora de Ponta,Demanda
2025-02-01 00:00:00,3280,Contratada fora de Ponta,Demanda
2025-02-01 00:00:00,3280,Contratada fora de Ponta,Demanda
2025-02-01 00:00:00,2980,Contratado de Ponta,Demanda
2025-02-01 00:00:00,2980,Contratado de Ponta,Demanda
2025-02-01 00:00:00,0,Contratado de Ponta,Demanda
2025-02-01 00:00:00,0,Tolerância Contratado fora de Ponta,Demanda
2025-02-01 00:00:00,3129,Tolerância Contratado de Ponta,Demanda
2025-02-01 00:00:00,3444,Tolerância Contratado fora de Ponta,Demanda
2025-02-01 00:00:00,0,Tolerância Contratado de Ponta,Demanda
2025-02-01 00:06:05,114.24,Consumo Reativo,Consumo
2025-02-01 00:06:05,456.959,Demanda Reativa,Demanda
2025-02-01 00:11:05,357.959,Consumo ativo Fora de Ponta,Consumo
2025-02-01 00:11:05,1431.837,Demanda ativa Fora de Ponta,Demanda
2025-02-01 00:21:05,0,Consumo Reativo,Consumo
2025-02-01 00:21:05,0,Consumo Reativo Capacitivo,Consumo
2025-02-01 00:21:05,0,Demanda Reativa,Demanda
2025-02-01 00:21:05,0,Demanda Reativa Capacitiva,Demanda
2025-02-01 00:26:05,1379.997,Demanda ativa Fora de Ponta,Demanda
2025-02-01 00:26:05,344.999,Consumo ativo Fora de Ponta,Consumo
2025-02-01 00:36:06,0,Consumo Reativo,Consumo
2025-02-01 00:36:06,0,Demanda Reativa Capacitiva,Demanda
2025-02-01 00:36:06,0,Consumo Reativo Capacitivo,Consumo
2025-02-01 00:36:06,0,Demanda Reativa,Demanda
2025-02-01 00:41:06,339.959,Consumo ativo Fora de Ponta,Consumo
2025-02-01 00:41:06,1359.837,Demanda ativa Fora de Ponta,Demanda
2025-02-01 00:51:05,0,Consumo Reativo,Consumo
2025-02-01 00:51:05,0,Demanda Reativa,Demanda
2025-02-01 00:51:05,0,Consumo Reativo Capacitivo,Consumo
2025-02-01 00:51:05,0,Demanda Reativa Capacitiva,Demanda
2025-02-01 00:56:05,1335.837,Demanda ativa Fora de Ponta,Demanda
2025-02-01 00:56:05,333.959,Consumo ativo Fora de Ponta,Consumo
2025-02-01 01:00:00,3444,Tolerância Contratado fora de Ponta,Demanda
2025-02-01 01:00:00,2980,Contratado de Ponta,Demanda
2025-02-01 01:00:00,3280,Contratada fora de Ponta,Demanda
2025-02-01 01:00:00,3280,Contratada fora de Ponta,Demanda
2025-02-01 01:00:00,3280,Contratada fora de Ponta,Demanda
2025-02-01 01:00:00,2980,Contratado de Ponta,Demanda
2025-02-01 01:00:00,2980,Contratado de Ponta,Demanda
2025-02-01 01:00:00,3444,Tolerância Contratado fora de Ponta,Demanda
2025-02-01 01:00:00,3129,Tolerância Contratado de Ponta,Demanda
2025-02-01 01:00:00,3129,Tolerância Contratado de Ponta,Demanda
2025-02-01 01:00:00,3129,Tolerância Contratado de Ponta,Demanda
2025-02-01 01:00:00,3444,Tolerância Contratado fora de Ponta,Demanda
2025-02-01 01:06:06,0,Demanda Reativa Capacitiva,Demanda
2025-02-01 01:06:06,0,Consumo Reativo Capacitivo,Consumo
2025-02-01 01:06:06,0,Demanda Reativa,Demanda
2025-02-01 01:06:06,0,Consumo Reativo,Consumo
2025-02-01 01:11:06,1307.997,Demanda ativa Fora de Ponta,Demanda
2025-02-01 01:11:06,326.999,Consumo ativo Fora de Ponta,Consumo
2025-02-01 01:21:06,0,Consumo Reativo Capacitivo,Consumo
2025-02-01 01:21:06,0,Demanda Reativa,Demanda
2025-02-01 01:21:06,0,Consumo Reativo,Consumo
2025-02-01 01:21:06,0,Demanda Reativa Capacitiva,Demanda
2025-02-01 01:26:06,323.999,Consumo ativo Fora de Ponta,Consumo
2025-02-01 01:26:06,1295.997,Demanda ativa Fora de Ponta,Demanda
2025-02-01 01:36:05,0,Demanda Reativa Capacitiva,Demanda
2025-02-01 01:36:05,0,Consumo Reativo Capacitivo,Consumo
2025-02-01 01:36:05,0,Demanda Reativa,Demanda
2025-02-01 01:36:05,0,Consumo Reativo,Consumo
2025-02-01 01:41:05,1283.997,Demanda ativa Fora de Ponta,Demanda
2025-02-01 01:41:05,320.999,Consumo ativo Fora de Ponta,Consumo
2025-02-01 01:51:05,0,Consumo Reativo Capacitivo,Consumo
2025-02-01 01:51:05,0,Demanda Reativa Capacitiva,Demanda
2025-02-01 01:51:05,0,Demanda Reativa,Demanda
2025-02-01 01:51:05,0,Consumo Reativo,Consumo
2025-02-01 01:56:05,317.999,Consumo ativo Fora de Ponta,Consumo
2025-02-01 01:56:05,1271.997,Demanda ativa Fora de Ponta,Demanda
2025-02-01 02:00:00,3129,Tolerância Contratado de Ponta,Demanda
2025-02-01 02:00:00,3129,Tolerância Contratado de Ponta,Demanda
2025-02-01 02:00:00,3129,Tolerância Contratado de Ponta,Demanda
2025-02-01 02:00:00,3280,Contratada fora de Ponta,Demanda
2025-02-01 02:00:00,2980,Contratado de Ponta,Demanda
2025-02-01 02:00:00,2980,Contratado de Ponta,Demanda
2025-02-01 02:00:00,3280,Contratada fora de Ponta,Demanda
2025-02-01 02:00:00,3280,Contratada fora de Ponta,Demanda
2025-02-01 02:00:00,2980,Contratado de Ponta,Demanda
2025-02-01 02:00:00,3444,Tolerância Contratado fora de Ponta,Demanda
2025-02-01 02:00:00,3444,Tolerância Contratado fora de Ponta,Demanda
2025-02-01 02:00:00,3444,Tolerância Contratado fora de Ponta,Demanda
2025-02-01 02:06:05,0,Demanda Reativa,Demanda
2025-02-01 02:06:05,0,Consumo Reativo Capacitivo,Consumo
2025-02-01 02:06:05,0,Consumo Reativo,Consumo
2025-02-01 02:06:05,0,Demanda Reativa Capacitiva,Demanda
2025-02-01 02:11:05,1283.997,Demanda ativa Fora de Ponta,Demanda
2025-02-01 02:11:05,320.999,Consumo ativo Fora de Ponta,Consumo
2025-02-01 02:21:04,0,Consumo Reativo Capacitivo,Consumo
