Timestamp,Valor,Medicao,Grandeza
2026-01-01 00:00:00,3444,Tolerância Contratado fora de Ponta,Demanda
2026-01-01 00:00:00,0,Tolerância Contratado fora de Ponta,Demanda
2026-01-01 00:00:00,0,Contratado de Ponta,Demanda
2026-01-01 00:00:00,2980,Contratado de Ponta,Demanda
2026-01-01 00:00:00,2980,Contratado de Ponta,Demanda
2026-01-01 00:00:00,0,Tolerância Contratado de Ponta,Demanda
2026-01-01 00:00:00,3129,Tolerância Contratado de Ponta,Demanda
2026-01-01 00:00:00,3280,Contratada fora de Ponta,Demanda
2026-01-01 00:00:00,3444,Tolerância Contratado fora de Ponta,Demanda
2026-01-01 00:00:00,3129,Tolerância Contratado de Ponta,Demanda
2026-01-01 00:00:00,0,Contratada fora de Ponta,Demanda
2026-01-01 00:00:00,3280,Contratada fora de Ponta,Demanda
2026-01-01 00:12:28,441.599,Demanda Reativa,Demanda
2026-01-01 00:17:28,1352.637,Demanda ativa Fora de Ponta,Demanda
2026-01-01 00:27:27,461.759,Demanda Reativa,Demanda
2026-01-01 00:32:27,1359.837,Demanda ativa Fora de Ponta,Demanda
2026-01-01 00:42:28,0,Demanda Reativa,Demanda
2026-01-01 00:42:28,0,Demanda Reativa Capacitiva,Demanda
2026-01-01 00:47:28,1354.557,Demanda ativa Fora de Ponta,Demanda
2026-01-01 00:57:28,0,Demanda Reativa Capacitiva,Demanda
2026-01-01 00:57:28,0,Demanda Reativa,Demanda
2026-01-01 01:00:00,3280,Contratada fora de Ponta,Demanda
2026-01-01 01:00:00,3280,Contratada fora de Ponta,Demanda
2026-01-01 01:00:00,3280,Contratada fora de Ponta,Demanda
2026-01-01 01:00:00,3129,Tolerância Contratado de Ponta,Demanda
2026-01-01 01:00:00,3129,Tolerância Contratado de Ponta,Demanda
2026-01-01 01:00:00,3129,Tolerância Contratado de Ponta,Demanda
2026-01-01 01:00:00,3444,Tolerância Contratado fora de Ponta,Demanda
2026-01-01 01:00:00,3444,Tolerância Contratado fora de Ponta,Demanda
2026-01-01 01:00:00,2980,Contratado de Ponta,Demanda
