Timestamp,Valor,Medicao,Grandeza
2025-07-01 00:00:00,0,Contratada fora de Ponta,Demanda
2025-07-01 00:00:00,3280,Contratada fora de Ponta,Demanda
2025-07-01 00:00:00,2980,Contratado de Ponta,Demanda
2025-07-01 00:00:00,2980,Contratado de Ponta,Demanda
2025-07-01 00:00:00,3444,Tolerância Contratado fora de Ponta,Demanda
2025-07-01 00:00:00,3444,Tolerância Contratado fora de Ponta,Demanda
2025-07-01 00:00:00,0,Tolerância Contratado fora de Ponta,Demanda
2025-07-01 00:00:00,0,Tolerância Contratado de Ponta,Demanda
2025-07-01 00:00:00,3129,Tolerância Contratado de Ponta,Demanda
2025-07-01 00:00:00,3129,Tolerância Contratado de Ponta,Demanda
2025-07-01 00:00:00,0,Contratado de Ponta,Demanda
2025-07-01 00:00:00,3280,Contratada fora de Ponta,Demanda
2025-07-01 00:06:48,97.92,Consumo Reativo,Consumo
2025-07-01 00:06:48,391.679,Demanda Reativa,Demanda
2025-07-01 00:11:48,1393.917,Demanda ativa Fora de Ponta,Demanda
2025-07-01 00:11:48,348.479,Consumo ativo Fora de Ponta,Consumo
2025-07-01 00:21:48,0,Consumo Reativo,Consumo
2025-07-01 00:21:48,0,Consumo Reativo Capacitivo,Consumo
2025-07-01 00:21:48,0,Demanda Reativa,Demanda
2025-07-01 00:21:48,0,Demanda Reativa Capacitiva,Demanda
2025-07-01 00:26:48,344.999,Consumo ativo Fora de Ponta,Consumo
2025-07-01 00:26:48,1379.997,Demanda ativa Fora de Ponta,Demanda
2025-07-01 00:36:48,0,Demanda Reativa,Demanda
2025-07-01 00:36:48,0,Demanda Reativa Capacitiva,Demanda
2025-07-01 00:36:48,0,Consumo Reativo Capacitivo,Consumo
2025-07-01 00:36:48,0,Consumo Reativo,Consumo
2025-07-01 00:41:48,333.959,Consumo ativo Fora de Ponta,Consumo
2025-07-01 00:41:48,1335.837,Demanda ativa Fora de Ponta,Demanda
2025-07-01 00:51:48,0,Demanda Reativa Capacitiva,Demanda
2025-07-01 00:51:48,0,Consumo Reativo Capacitivo,Consumo
2025-07-01 00:51:48,0,Consumo Reativo,Consumo
2025-07-01 00:51:48,0,Demanda Reativa,Demanda
2025-07-01 00:56:48,1305.597,Demanda ativa Fora de Ponta,Demanda
2025-07-01 00:56:48,326.399,Consumo ativo Fora de Ponta,Consumo
2025-07-01 01:00:00,3280,Contratada fora de Ponta,Demanda
2025-07-01 01:00:00,3280,Contratada fora de Ponta,Demanda
2025-07-01 01:00:00,2980,Contratado de Ponta,Demanda
2025-07-01 01:00:00,2980,Contratado de Ponta,Demanda
2025-07-01 01:00:00,3129,Tolerância Contratado de Ponta,Demanda
2025-07-01 01:00:00,3444,Tolerância Contratado fora de Ponta,Demanda
