Timestamp,Valor,Medicao,Grandeza
2025-06-01 00:00:00,0,Contratado de Ponta,Demanda
2025-06-01 00:00:00,3444,Tolerância Contratado fora de Ponta,Demanda
2025-06-01 00:00:00,3444,Tolerância Contratado fora de Ponta,Demanda
2025-06-01 00:00:00,0,Contratada fora de Ponta,Demanda
2025-06-01 00:00:00,3280,Contratada fora de Ponta,Demanda
2025-06-01 00:00:00,3280,Contratada fora de Ponta,Demanda
2025-06-01 00:00:00,0,Tolerância Contratado fora de Ponta,Demanda
2025-06-01 00:00:00,2980,Contratado de Ponta,Demanda
2025-06-01 00:00:00,2980,Contratado de Ponta,Demanda
2025-06-01 00:00:00,3129,Tolerância Contratado de Ponta,Demanda
2025-06-01 00:00:00,3129,Tolerância Contratado de Ponta,Demanda
2025-06-01 00:00:00,0,Tolerância Contratado de Ponta,Demanda
2025-06-01 00:06:57,117,Consumo Reativo,Consumo
2025-06-01 00:06:57,467.999,Demanda Reativa,Demanda
2025-06-01 00:11:57,1509.597,Demanda ativa Fora de Ponta,Demanda
2025-06-01 00:11:57,377.399,Consumo ativo Fora de Ponta,Consumo
2025-06-01 00:21:58,0,Demanda Reativa,Demanda
2025-06-01 00:21:58,0,Demanda Reativa Capacitiva,Demanda
2025-06-01 00:21:58,0,Consumo Reativo,Consumo
2025-06-01 00:21:58,0,Consumo Reativo Capacitivo,Consumo
2025-06-01 00:26:58,363.479,Consumo ativo Fora de Ponta,Consumo
2025-06-01 00:26:58,1453.917,Demanda ativa Fora de Ponta,Demanda
2025-06-01 00:36:57,0,Demanda Reativa,Demanda
2025-06-01 00:36:57,0,Demanda Reativa Capacitiva,Demanda
2025-06-01 00:36:57,0,Consumo Reativo,Consumo
2025-06-01 00:36:57,0,Consumo Reativo Capacitivo,Consumo
2025-06-01 00:41:57,336.959,Consumo ativo Fora de Ponta,Consumo
2025-06-01 00:41:57,1347.837,Demanda ativa Fora de Ponta,Demanda
2025-06-01 00:51:57,0,Demanda Reativa Capacitiva,Demanda
2025-06-01 00:51:57,0,Consumo Reativo,Consumo
2025-06-01 00:51:57,0,Demanda Reativa,Demanda
2025-06-01 00:51:57,0,Consumo Reativo Capacitivo,Consumo
2025-06-01 00:56:57,1305.597,Demanda ativa Fora de Ponta,Demanda
2025-06-01 00:56:57,326.399,Consumo ativo Fora de Ponta,Consumo
2025-06-01 01:00:00,2980,Contratado de Ponta,Demanda
2025-06-01 01:00:00,2980,Contratado de Ponta,Demanda
2025-06-01 01:00:00,2980,Contratado de Ponta,Demanda
2025-06-01 01:00:00,3444,Tolerância Contratado fora de Ponta,Demanda
2025-06-01 01:00:00,3129,Tolerância Contratado de Ponta,Demanda
2025-06-01 01:00:00,3129,Tolerância Contratado de Ponta,Demanda
2025-06-01 01:00:00,3129,Tolerância Contratado de Ponta,Demanda
2025-06-01 01:00:00,3444,Tolerância Contratado fora de Ponta,Demanda
2025-06-01 01:00:00,3444,Tolerância Contratado fora de Ponta,Demanda
2025-06-01 01:00:00,3280,Contratada fora de Ponta,Demanda
2025-06-01 01:00:00,3280,Contratada fora de Ponta,Demanda
2025-06-01 01:00:00,3280,Contratada fora de Ponta,Demanda
2025-06-01 01:06:58,0,Demanda Reativa Capacitiva,Demanda
2025-06-01 01:06:58,0,Demanda Reativa,Demanda
2025-06-01 01:06:58,0,Consumo Reativo Capacitivo,Consumo
2025-06-01 01:06:58,0,Consumo Reativo,Consumo
