Timestamp,Valor,Medicao,Grandeza
2025-05-01 00:00:00,3444,Tolerância Contratado fora de Ponta,Demanda
2025-05-01 00:00:00,3444,Tolerância Contratado fora de Ponta,Demanda
2025-05-01 00:00:00,0,Tolerância Contratado fora de Ponta,Demanda
2025-05-01 00:00:00,0,Contratada fora de Ponta,Demanda
2025-05-01 00:00:00,3280,Contratada fora de Ponta,Demanda
2025-05-01 00:00:00,3280,Contratada fora de Ponta,Demanda
2025-05-01 00:00:00,3129,Tolerância Contratado de Ponta,Demanda
2025-05-01 00:00:00,3129,Tolerância Contratado de Ponta,Demanda
2025-05-01 00:00:00,0,Tolerância Contratado de Ponta,Demanda
2025-05-01 00:00:00,0,Contratado de Ponta,Demanda
2025-05-01 00:00:00,2980,Contratado de Ponta,Demanda
2025-05-01 00:00:00,2980,Contratado de Ponta,Demanda
2025-05-01 00:05:56,417.599,Demanda Reativa,Demanda
2025-05-01 00:05:56,104.4,Consumo Reativo,Consumo
2025-05-01 00:10:56,1420.797,Demanda ativa Fora de Ponta,Demanda
2025-05-01 00:10:56,355.199,Consumo ativo Fora de Ponta,Consumo
2025-05-01 00:20:57,0,Demanda Reativa Capacitiva,Demanda
2025-05-01 00:20:57,0,Demanda Reativa,Demanda
2025-05-01 00:20:57,0,Consumo Reativo Capacitivo,Consumo
2025-05-01 00:20:57,0,Consumo Reativo,Consumo
2025-05-01 00:25:57,1413.597,Demanda ativa Fora de Ponta,Demanda
2025-05-01 00:25:57,353.399,Consumo ativo Fora de Ponta,Consumo
2025-05-01 00:35:56,0,Consumo Reativo,Consumo
2025-05-01 00:35:56,0,Demanda Reativa,Demanda
2025-05-01 00:35:56,0,Consumo Reativo Capacitivo,Consumo
2025-05-01 00:35:56,0,Demanda Reativa Capacitiva,Demanda
2025-05-01 00:40:56,337.679,Consumo ativo Fora de Ponta,Consumo
2025-05-01 00:40:56,1350.717,Demanda ativa Fora de Ponta,Demanda
2025-05-01 00:50:56,0,Demanda Reativa Capacitiva,Demanda
2025-05-01 00:50:56,0,Consumo Reativo Capacitivo,Consumo
2025-05-01 00:50:56,0,Consumo Reativo,Consumo
2025-05-01 00:50:56,0,Demanda Reativa,Demanda
2025-05-01 00:55:56,1316.637,Demanda ativa Fora de Ponta,Demanda
2025-05-01 00:55:56,329.159,Consumo ativo Fora de Ponta,Consumo
2025-05-01 01:00:00,3280,Contratada fora de Ponta,Demanda
2025-05-01 01:00:00,3280,Contratada fora de Ponta,Demanda
2025-05-01 01:00:00,2980,Contratado de Ponta,Demanda
2025-05-01 01:00:00,2980,Contratado de Ponta,Demanda
2025-05-01 01:00:00,3444,Tolerância Contratado fora de Ponta,Demanda
