Timestamp,Valor,Medicao,Grandeza
2025-03-01 00:00:00,0,Tolerância Contratado de Ponta,Demanda
2025-03-01 00:00:00,3129,Tolerância Contratado de Ponta,Demanda
2025-03-01 00:00:00,2980,Contratado de Ponta,Demanda
2025-03-01 00:00:00,2980,Contratado de Ponta,Demanda
2025-03-01 00:00:00,0,Contratado de Ponta,Demanda
2025-03-01 00:00:00,0,Contratada fora de Ponta,Demanda
2025-03-01 00:00:00,3280,Contratada fora de Ponta,Demanda
2025-03-01 00:00:00,3280,Contratada fora de Ponta,Demanda
2025-03-01 00:00:00,3129,Tolerância Contratado de Ponta,Demanda
2025-03-01 00:00:00,0,Tolerância Contratado fora de Ponta,Demanda
2025-03-01 00:00:00,3444,Tolerância Contratado fora de Ponta,Demanda
2025-03-01 00:00:00,3444,Tolerância Contratado fora de Ponta,Demanda
2025-03-01 00:06:03,573.599,Demanda Reativa,Demanda
2025-03-01 00:06:03,143.4,Consumo Reativo,Consumo
2025-03-01 00:11:03,1494.717,Demanda ativa Fora de Ponta,Demanda
2025-03-01 00:11:03,373.679,Consumo ativo Fora de Ponta,Consumo
2025-03-01 00:21:03,0,Demanda Reativa Capacitiva,Demanda
2025-03-01 00:21:03,0,Consumo Reativo,Consumo
2025-03-01 00:21:03,0,Demanda Reativa,Demanda
2025-03-01 00:21:03,0,Consumo Reativo Capacitivo,Consumo
2025-03-01 00:26:03,350.759,Consumo ativo Fora de Ponta,Consumo
2025-03-01 00:26:03,1403.037,Demanda ativa Fora de Ponta,Demanda
2025-03-01 00:36:03,0,Demanda Reativa,Demanda
2025-03-01 00:36:03,0,Demanda Reativa Capacitiva,Demanda
2025-03-01 00:36:03,0,Consumo Reativo,Consumo
2025-03-01 00:36:03,0,Consumo Reativo Capacitivo,Consumo
2025-03-01 00:41:03,345.239,Consumo ativo Fora de Ponta,Consumo
2025-03-01 00:41:03,1380.957,Demanda ativa Fora de Ponta,Demanda
2025-03-01 00:51:02,0,Demanda Reativa,Demanda
2025-03-01 00:51:02,0,Consumo Reativo Capacitivo,Consumo
2025-03-01 00:51:02,0,Consumo Reativo,Consumo
2025-03-01 00:51:02,0,Demanda Reativa Capacitiva,Demanda
2025-03-01 00:56:02,1370.877,Demanda ativa Fora de Ponta,Demanda
2025-03-01 00:56:02,342.719,Consumo ativo Fora de Ponta,Consumo
2025-03-01 01:00:00,2980,Contratado de Ponta,Demanda
2025-03-01 01:00:00,3444,Tolerância Contratado fora de Ponta,Demanda
2025-03-01 01:00:00,3444,Tolerância Contratado fora de Ponta,Demanda
2025-03-01 01:00:00,3444,Tolerância Contratado fora de Ponta,Demanda
2025-03-01 01:00:00,3280,Contratada fora de Ponta,Demanda
2025-03-01 01:00:00,2980,Contratado de Ponta,Demanda
2025-03-01 01:00:00,3280,Contratada fora de Ponta,Demanda
2025-03-01 01:00:00,2980,Contratado de Ponta,Demanda
2025-03-01 01:00:00,3280,Contratada fora de Ponta,Demanda
2025-03-01 01:00:00,3129,Tolerância Contratado de Ponta,Demanda
2025-03-01 01:00:00,3129,Tolerância Contratado de Ponta,Demanda
2025-03-01 01:00:00,3129,Tolerância Contratado de Ponta,Demanda
2025-03-01 01:06:03,0,Consumo Reativo,Consumo
2025-03-01 01:06:03,0,Demanda Reativa Capacitiva,Demanda
2025-03-01 01:06:03,0,Demanda Reativa,Demanda
2025-03-01 01:06:03,0,Consumo Reativo Capacitivo,Consumo
2025-03-01 01:11:03,338.999,Consumo ativo Fora de Ponta,Consumo
2025-03-01 01:11:03,1355.997,Demanda ativa Fora de Ponta,Demanda
2025-03-01 01:21:03,0,Demanda Reativa Capacitiva,Demanda
2025-03-01 01:21:03,0,Consumo Reativo Capacitivo,Consumo
2025-03-01 01:21:03,0,Consumo Reativo,Consumo
2025-03-01 01:21:03,0,Demanda Reativa,Demanda
2025-03-01 01:26:03,339.599,Consumo ativo Fora de Ponta,Consumo
2025-03-01 01:26:03,1358.397,Demanda ativa Fora de Ponta,Demanda
2025-03-01 01:36:03,0,Consumo Reativo,Consumo
2025-03-01 01:36:03,0,Consumo Reativo Capacitivo,Consumo
2025-03-01 01:36:03,0,Demanda Reativa Capacitiva,Demanda
2025-03-01 01:36:03,0,Demanda Reativa,Demanda
2025-03-01 01:41:03,1340.637,Demanda ativa Fora de Ponta,Demanda
2025-03-01 01:41:03,335.159,Consumo ativo Fora de Ponta,Consumo
2025-03-01 01:51:03,0,Demanda Reativa Capacitiva,Demanda
2025-03-01 01:51:03,0,Consumo Reativo Capacitivo,Consumo
2025-03-01 01:51:03,0,Consumo Reativo,Consumo
2025-03-01 01:51:03,0,Demanda Reativa,Demanda
2025-03-01 01:56:03,1328.157,Demanda ativa Fora de Ponta,Demanda
2025-03-01 01:56:03,332.039,Consumo ativo Fora de Ponta,Consumo
2025-03-01 02:00:00,3129,Tolerância Contratado de Ponta,Demanda
2025-03-01 02:00:00,3280,Contratada fora de Ponta,Demanda
2025-03-01 02:00:00,3280,Contratada fora de Ponta,Demanda
2025-03-01 02:00:00,3444,Tolerância Contratado fora de Ponta,Demanda
2025-03-01 02:00:00,3444,Tolerância Contratado fora de Ponta,Demanda
2025-03-01 02:00:00,3444,Tolerância Contratado fora de Ponta,Demanda
2025-03-01 02:00:00,3129,Tolerância Contratado de Ponta,Demanda
2025-03-01 02:00:00,3129,Tolerância Contratado de Ponta,Demanda
2025-03-01 02:00:00,3280,Contratada fora de Ponta,Demanda
2025-03-01 02:00:00,2980,Contratado de Ponta,Demanda
2025-03-01 02:00:00,2980,Contratado de Ponta,Demanda
2025-03-01 02:00:00,2980,Contratado de Ponta,Demanda
2025-03-01 02:06:03,0,Demanda Reativa Capacitiva,Demanda
2025-03-01 02:06:03,0,Consumo Reativo Capacitivo,Consumo
2025-03-01 02:06:03,0,Consumo Reativo,Consumo
2025-03-01 02:06:03,0,Demanda Reativa,Demanda
2025-03-01 02:11:03,326.519,Consumo ativo Fora de Ponta,Consumo
2025-03-01 02:11:03,1306.077,Demanda ativa Fora de Ponta,Demanda
2025-03-01 02:21:02,0,Demanda Reativa Capacitiva,Demanda
2025-03-01 02:21:02,0,Consumo Reativo,Consumo
2025-03-01 02:21:02,0,Demanda Reativa,Demanda
2025-03-01 02:21:02,0,Consumo Reativo Capacitivo,Consumo
2025-03-01 02:26:02,318.239,Consumo ativo Fora de Ponta,Consumo
2025-03-01 02:26:02,1272.957,Demanda ativa Fora de Ponta,Demanda
2025-03-01 02:36:03,0,Demanda Reativa,Demanda
2025-03-01 02:36:03,0,Consumo Reativo,Consumo
2025-03-01 02:36:03,0,Consumo Reativo Capacitivo,Consumo
2025-03-01 02:36:03,0,Demanda Reativa Capacitiva,Demanda
2025-03-01 02:41:03,315.119,Consumo ativo Fora de Ponta,Consumo
