Timestamp,Valor,Medicao,Grandeza
2025-11-01 00:00:00,0,Contratado de Ponta,Demanda
2025-11-01 00:00:00,0,Tolerância Contratado fora de Ponta,Demanda
2025-11-01 00:00:00,3280,Contratada fora de Ponta,Demanda
2025-11-01 00:00:00,3280,Contratada fora de Ponta,Demanda
2025-11-01 00:00:00,0,Contratada fora de Ponta,Demanda
2025-11-01 00:00:00,3129,Tolerância Contratado de Ponta,Demanda
2025-11-01 00:00:00,3129,Tolerância Contratado de Ponta,Demanda
2025-11-01 00:00:00,0,Tolerância Contratado de Ponta,Demanda
2025-11-01 00:00:00,2980,Contratado de Ponta,Demanda
2025-11-01 00:00:00,2980,Contratado de Ponta,Demanda
2025-11-01 00:00:00,3444,Tolerância Contratado fora de Ponta,Demanda
2025-11-01 00:00:00,3444,Tolerância Contratado fora de Ponta,Demanda
2025-11-01 00:12:35,7.68,Demanda Reativa,Demanda
2025-11-01 00:12:35,1.92,Consumo Reativo,Consumo
2025-11-01 00:17:35,674.879,Demanda ativa Fora de Ponta,Demanda
2025-11-01 00:17:35,168.72,Consumo ativo Fora de Ponta,Consumo
2025-11-01 00:27:34,26.4,Consumo Reativo,Consumo
2025-11-01 00:27:34,105.6,Demanda Reativa,Demanda
2025-11-01 00:32:34,869.278,Demanda ativa Fora de Ponta,Demanda
2025-11-01 00:32:34,217.32,Consumo ativo Fora de Ponta,Consumo
2025-11-01 00:42:34,0,Consumo Reativo,Consumo
2025-11-01 00:42:34,0,Demanda Reativa Capacitiva,Demanda
2025-11-01 00:42:34,0,Demanda Reativa,Demanda
2025-11-01 00:42:34,0,Consumo Reativo Capacitivo,Consumo
2025-11-01 00:47:34,1315.197,Demanda ativa Fora de Ponta,Demanda
2025-11-01 00:47:34,328.799,Consumo ativo Fora de Ponta,Consumo
2025-11-01 00:57:34,0,Demanda Reativa,Demanda
2025-11-01 00:57:34,0,Consumo Reativo,Consumo
2025-11-01 00:57:34,0,Demanda Reativa Capacitiva,Demanda
2025-11-01 00:57:34,0,Consumo Reativo Capacitivo,Consumo
2025-11-01 01:00:00,3280,Contratada fora de Ponta,Demanda
2025-11-01 01:00:00,3129,Tolerância Contratado de Ponta,Demanda
2025-11-01 01:00:00,2980,Contratado de Ponta,Demanda
2025-11-01 01:00:00,2980,Contratado de Ponta,Demanda
2025-11-01 01:00:00,3280,Contratada fora de Ponta,Demanda
2025-11-01 01:00:00,3129,Tolerância Contratado de Ponta,Demanda
2025-11-01 01:00:00,3444,Tolerância Contratado fora de Ponta,Demanda
2025-11-01 01:00:00,3444,Tolerância Contratado fora de Ponta,Demanda
2025-11-01 01:00:00,3129,Tolerância Contratado de Ponta,Demanda
2025-11-01 01:00:00,3280,Contratada fora de Ponta,Demanda
2025-11-01 01:00:00,2980,Contratado de Ponta,Demanda
2025-11-01 01:00:00,3444,Tolerância Contratado fora de Ponta,Demanda
2025-11-01 01:02:34,350.519,Consumo ativo Fora de Ponta,Consumo
2025-11-01 01:02:34,1402.077,Demanda ativa Fora de Ponta,Demanda
2025-11-01 01:12:33,0,Demanda Reativa Capacitiva,Demanda
2025-11-01 01:12:33,0,Demanda Reativa,Demanda
2025-11-01 01:12:33,0,Consumo Reativo Capacitivo,Consumo
2025-11-01 01:12:33,0,Consumo Reativo,Consumo
2025-11-01 01:17:33,1712.156,Demanda ativa Fora de Ponta,Demanda
2025-11-01 01:17:33,428.039,Consumo ativo Fora de Ponta,Consumo
2025-11-01 01:27:33,0,Demanda Reativa,Demanda
2025-11-01 01:27:33,0,Consumo Reativo,Consumo
2025-11-01 01:27:33,0,Demanda Reativa Capacitiva,Demanda
2025-11-01 01:27:33,0,Consumo Reativo Capacitivo,Consumo
2025-11-01 01:32:33,1727.036,Demanda ativa Fora de Ponta,Demanda
2025-11-01 01:32:33,431.759,Consumo ativo Fora de Ponta,Consumo
2025-11-01 01:42:34,0,Demanda Reativa Capacitiva,Demanda
2025-11-01 01:42:34,0,Consumo Reativo,Consumo
2025-11-01 01:42:34,0,Demanda Reativa,Demanda
2025-11-01 01:42:34,0,Consumo Reativo Capacitivo,Consumo
2025-11-01 01:47:34,1708.796,Demanda ativa Fora de Ponta,Demanda
2025-11-01 01:47:34,427.199,Consumo ativo Fora de Ponta,Consumo
2025-11-01 01:57:34,0,Consumo Reativo,Consumo
2025-11-01 01:57:34,0,Demanda Reativa Capacitiva,Demanda
2025-11-01 01:57:34,0,Consumo Reativo Capacitivo,Consumo
2025-11-01 01:57:34,0,Demanda Reativa,Demanda
2025-11-01 02:00:00,2980,Contratado de Ponta,Demanda
2025-11-01 02:00:00,2980,Contratado de Ponta,Demanda
2025-11-01 02:00:00,3280,Contratada fora de Ponta,Demanda
2025-11-01 02:00:00,3444,Tolerância Contratado fora de Ponta,Demanda
2025-11-01 02:00:00,2980,Contratado de Ponta,Demanda
2025-11-01 02:00:00,3280,Contratada fora de Ponta,Demanda
2025-11-01 02:00:00,3129,Tolerância Contratado de Ponta,Demanda
2025-11-01 02:00:00,3129,Tolerância Contratado de Ponta,Demanda
2025-11-01 02:00:00,3129,Tolerância Contratado de Ponta,Demanda
2025-11-01 02:00:00,3444,Tolerância Contratado fora de Ponta,Demanda
2025-11-01 02:00:00,3444,Tolerância Contratado fora de Ponta,Demanda
2025-11-01 02:00:00,3280,Contratada fora de Ponta,Demanda
2025-11-01 02:02:34,417.839,Consumo ativo Fora de Ponta,Consumo
2025-11-01 02:02:34,1671.357,Demanda ativa Fora de Ponta,Demanda
2025-11-01 02:12:33,0,Consumo Reativo Capacitivo,Consumo
2025-11-01 02:12:33,0,Demanda Reativa Capacitiva,Demanda
2025-11-01 02:12:33,0,Consumo Reativo,Consumo
2025-11-01 02:12:33,0,Demanda Reativa,Demanda
2025-11-01 02:17:33,410.399,Consumo ativo Fora de Ponta,Consumo
2025-11-01 02:17:33,1641.597,Demanda ativa Fora de Ponta,Demanda
2025-11-01 02:27:33,0,Demanda Reativa,Demanda
2025-11-01 02:27:33,0,Demanda Reativa Capacitiva,Demanda
2025-11-01 02:27:33,0,Consumo Reativo,Consumo
2025-11-01 02:27:33,0,Consumo Reativo Capacitivo,Consumo
2025-11-01 02:32:33,1627.197,Demanda ativa Fora de Ponta,Demanda
2025-11-01 02:32:33,406.799,Consumo ativo Fora de Ponta,Consumo
2025-11-01 02:42:35,0,Consumo Reativo Capacitivo,Consumo
2025-11-01 02:42:35,0,Demanda Reativa Capacitiva,Demanda
2025-11-01 02:42:35,0,Demanda Reativa,Demanda
2025-11-01 02:42:35,0,Consumo Reativo,Consumo
2025-11-01 02:47:35,356.159,Consumo ativo Fora de Ponta,Consumo
2025-11-01 02:47:35,1424.637,Demanda ativa Fora de Ponta,Demanda
2025-11-01 02:57:34,0,Consumo Reativo,Consumo
2025-11-01 02:57:34,0,Demanda Reativa Capacitiva,Demanda
2025-11-01 02:57:34,0,Demanda Reativa,Demanda
2025-11-01 02:57:34,0,Consumo Reativo Capacitivo,Consumo
2025-11-01 03:00:00,3444,Tolerância Contratado fora de Ponta,Demanda
2025-11-01 03:00:00,3129,Tolerância Contratado de Ponta,Demanda
2025-11-01 03:00:00,3444,Tolerância Contratado fora de Ponta,Demanda
2025-11-01 03:00:00,3444,Tolerância Contratado fora de Ponta,Demanda
2025-11-01 03:00:00,3129,Tolerância Contratado de Ponta,Demanda
2025-11-01 03:00:00,3129,Tolerância Contratado de Ponta,Demanda
2025-11-01 03:00:00,2980,Contratado de Ponta,Demanda
2025-11-01 03:00:00,2980,Contratado de Ponta,Demanda
2025-11-01 03:00:00,2980,Contratado de Ponta,Demanda
2025-11-01 03:00:00,3280,Contratada fora de Ponta,Demanda
2025-11-01 03:00:00,3280,Contratada fora de Ponta,Demanda
2025-11-01 03:00:00,3280,Contratada fora de Ponta,Demanda
2025-11-01 03:02:34,1244.637,Demanda ativa Fora de Ponta,Demanda
2025-11-01 03:02:34,311.159,Consumo ativo Fora de Ponta,Consumo
2025-11-01 03:12:34,0,Demanda Reativa Capacitiva,Demanda
2025-11-01 03:12:34,0,Demanda Reativa,Demanda
2025-11-01 03:12:34,0,Consumo Reativo Capacitivo,Consumo
2025-11-01 03:12:34,0,Consumo Reativo,Consumo
2025-11-01 03:17:34,1473.597,Demanda ativa Fora de Ponta,Demanda
2025-11-01 03:17:34,368.399,Consumo ativo Fora de Ponta,Consumo
2025-11-01 03:27:34,0,Consumo Reativo Capacitivo,Consumo
2025-11-01 03:27:34,0,Demanda Reativa Capacitiva,Demanda
2025-11-01 03:27:34,0,Consumo Reativo,Consumo
2025-11-01 03:27:34,0,Demanda Reativa,Demanda
2025-11-01 03:32:34,1580.637,Demanda ativa Fora de Ponta,Demanda
2025-11-01 03:32:34,395.159,Consumo ativo Fora de Ponta,Consumo
2025-11-01 03:42:34,0,Consumo Reativo,Consumo
2025-11-01 03:42:34,0,Demanda Reativa Capacitiva,Demanda
