Timestamp,Valor,Medicao,Grandeza
2025-10-01 00:00:00,0,Contratado de Ponta,Demanda
2025-10-01 00:00:00,2980,Contratado de Ponta,Demanda
2025-10-01 00:00:00,3280,Contratada fora de Ponta,Demanda
2025-10-01 00:00:00,3280,Contratada fora de Ponta,Demanda
2025-10-01 00:00:00,0,Tolerância Contratado fora de Ponta,Demanda
2025-10-01 00:00:00,3444,Tolerância Contratado fora de Ponta,Demanda
2025-10-01 00:00:00,3444,Tolerância Contratado fora de Ponta,Demanda
2025-10-01 00:00:00,2980,Contratado de Ponta,Demanda
2025-10-01 00:00:00,0,Tolerância Contratado de Ponta,Demanda
2025-10-01 00:00:00,3129,Tolerância Contratado de Ponta,Demanda
2025-10-01 00:00:00,3129,Tolerância Contratado de Ponta,Demanda
2025-10-01 00:00:00,0,Contratada fora de Ponta,Demanda
2025-10-01 00:12:37,80.4,Consumo Reativo,Consumo
2025-10-01 00:12:37,321.599,Demanda Reativa,Demanda
2025-10-01 00:17:37,356.999,Consumo ativo Fora de Ponta,Consumo
2025-10-01 00:17:37,1427.997,Demanda ativa Fora de Ponta,Demanda
2025-10-01 00:27:36,81.96,Consumo Reativo,Consumo
2025-10-01 00:27:36,327.839,Demanda Reativa,Demanda
2025-10-01 00:32:36,1399.677,Demanda ativa Fora de Ponta,Demanda
2025-10-01 00:32:36,349.919,Consumo ativo Fora de Ponta,Consumo
2025-10-01 00:42:36,0,Demanda Reativa Capacitiva,Demanda
2025-10-01 00:42:36,0,Consumo Reativo,Consumo
2025-10-01 00:42:36,0,Demanda Reativa,Demanda
2025-10-01 00:42:36,0,Consumo Reativo Capacitivo,Consumo
2025-10-01 00:47:36,339.959,Consumo ativo Fora de Ponta,Consumo
2025-10-01 00:47:36,1359.837,Demanda ativa Fora de Ponta,Demanda
2025-10-01 00:57:36,0,Demanda Reativa Capacitiva,Demanda
2025-10-01 00:57:36,0,Demanda Reativa,Demanda
2025-10-01 00:57:36,0,Consumo Reativo Capacitivo,Consumo
2025-10-01 00:57:36,0,Consumo Reativo,Consumo
2025-10-01 01:00:00,2980,Contratado de Ponta,Demanda
2025-10-01 01:00:00,2980,Contratado de Ponta,Demanda
2025-10-01 01:00:00,3280,Contratada fora de Ponta,Demanda
2025-10-01 01:00:00,3280,Contratada fora de Ponta,Demanda
2025-10-01 01:00:00,3280,Contratada fora de Ponta,Demanda
2025-10-01 01:00:00,3129,Tolerância Contratado de Ponta,Demanda
2025-10-01 01:00:00,3444,Tolerância Contratado fora de Ponta,Demanda
2025-10-01 01:00:00,3444,Tolerância Contratado fora de Ponta,Demanda
2025-10-01 01:00:00,3444,Tolerância Contratado fora de Ponta,Demanda
2025-10-01 01:00:00,3129,Tolerância Contratado de Ponta,Demanda
2025-10-01 01:00:00,3129,Tolerância Contratado de Ponta,Demanda
2025-10-01 01:00:00,2980,Contratado de Ponta,Demanda
2025-10-01 01:02:36,1379.997,Demanda ativa Fora de Ponta,Demanda
2025-10-01 01:02:36,344.999,Consumo ativo Fora de Ponta,Consumo
2025-10-01 01:12:38,0,Demanda Reativa Capacitiva,Demanda
2025-10-01 01:12:38,0,Consumo Reativo,Consumo
2025-10-01 01:12:38,0,Consumo Reativo Capacitivo,Consumo
2025-10-01 01:12:38,0,Demanda Reativa,Demanda
2025-10-01 01:17:38,341.999,Consumo ativo Fora de Ponta,Consumo
2025-10-01 01:17:38,1367.997,Demanda ativa Fora de Ponta,Demanda
2025-10-01 01:27:37,0,Consumo Reativo Capacitivo,Consumo
2025-10-01 01:27:37,0,Demanda Reativa Capacitiva,Demanda
2025-10-01 01:27:37,0,Consumo Reativo,Consumo
2025-10-01 01:27:37,0,Demanda Reativa,Demanda
2025-10-01 01:32:37,1355.997,Demanda ativa Fora de Ponta,Demanda
2025-10-01 01:32:37,338.999,Consumo ativo Fora de Ponta,Consumo
2025-10-01 01:42:37,0,Demanda Reativa Capacitiva,Demanda
2025-10-01 01:42:37,0,Consumo Reativo,Consumo
2025-10-01 01:42:37,0,Demanda Reativa,Demanda
2025-10-01 01:42:37,0,Consumo Reativo Capacitivo,Consumo
2025-10-01 01:47:37,337.919,Consumo ativo Fora de Ponta,Consumo
2025-10-01 01:47:37,1351.677,Demanda ativa Fora de Ponta,Demanda
2025-10-01 01:57:37,0,Demanda Reativa,Demanda
2025-10-01 01:57:37,0,Consumo Reativo Capacitivo,Consumo
2025-10-01 01:57:37,0,Demanda Reativa Capacitiva,Demanda
2025-10-01 01:57:37,0,Consumo Reativo,Consumo
2025-10-01 02:00:00,3129,Tolerância Contratado de Ponta,Demanda
