Timestamp,Valor,Medicao,Grandeza
2025-09-01 00:00:00,3129,Tolerância Contratado de Ponta,Demanda
2025-09-01 00:00:00,3444,Tolerância Contratado fora de Ponta,Demanda
2025-09-01 00:00:00,0,Tolerância Contratado de Ponta,Demanda
2025-09-01 00:00:00,3444,Tolerância Contratado fora de Ponta,Demanda
2025-09-01 00:00:00,0,Tolerância Contratado fora de Ponta,Demanda
2025-09-01 00:00:00,2980,Contratado de Ponta,Demanda
2025-09-01 00:00:00,2980,Contratado de Ponta,Demanda
2025-09-01 00:00:00,0,Contratado de Ponta,Demanda
2025-09-01 00:00:00,0,Contratada fora de Ponta,Demanda
2025-09-01 00:00:00,3280,Contratada fora de Ponta,Demanda
2025-09-01 00:00:00,3280,Contratada fora de Ponta,Demanda
2025-09-01 00:00:00,3129,Tolerância Contratado de Ponta,Demanda
2025-09-01 00:12:40,255.839,Demanda Reativa,Demanda
2025-09-01 00:12:40,63.96,Consumo Reativo,Consumo
2025-09-01 00:17:40,339.479,Consumo ativo Fora de Ponta,Consumo
2025-09-01 00:17:40,1357.917,Demanda ativa Fora de Ponta,Demanda
2025-09-01 00:27:41,75,Consumo Reativo,Consumo
2025-09-01 00:27:41,299.999,Demanda Reativa,Demanda
2025-09-01 00:32:41,1345.917,Demanda ativa Fora de Ponta,Demanda
2025-09-01 00:32:41,336.479,Consumo ativo Fora de Ponta,Consumo
2025-09-01 00:42:41,0,Demanda Reativa,Demanda
2025-09-01 00:42:41,0,Consumo Reativo Capacitivo,Consumo
2025-09-01 00:42:41,0,Demanda Reativa Capacitiva,Demanda
2025-09-01 00:42:41,0,Consumo Reativo,Consumo
2025-09-01 00:47:41,330.479,Consumo ativo Fora de Ponta,Consumo
2025-09-01 00:47:41,1321.917,Demanda ativa Fora de Ponta,Demanda
2025-09-01 00:57:39,0,Consumo Reativo,Consumo
2025-09-01 00:57:39,0,Demanda Reativa,Demanda
2025-09-01 00:57:39,0,Consumo Reativo Capacitivo,Consumo
2025-09-01 00:57:39,0,Demanda Reativa Capacitiva,Demanda
2025-09-01 01:00:00,3444,Tolerância Contratado fora de Ponta,Demanda
