mes,c1,c2,c3,cons_hp,cons_fp,cons_hp_resid,cons_fp_net,solar_gen,dem_hp,dem_fp,dem_verde,dem_hp_resid,n_ponta,n_overflow,n_bess_dead
Nov,1107802.57,952694.20,748985.49,128836.66,1236318.70,10101.89,1088487.38,264699.57,2901.59,2902.07,2902.07,2415.36,21,21,3
Dez,1101424.23,947327.58,753074.77,124655.65,1242317.32,8228.45,1102313.22,259112.78,2518.55,3191.99,2961.98,2463.84,21,21,3
Jan,985506.17,839673.70,662142.31,118196.76,1067162.09,6284.21,964110.25,247129.83,2411.99,2517.59,2435.94,1594.90,20,20,1
Fev,974066.82,834672.91,645704.49,115639.22,1055088.21,5824.70,938751.54,236411.04,2319.90,2477.89,2390.23,839.30,20,20,1
Mar,1028407.64,883337.84,693774.67,114213.46,1141739.56,6114.83,1017527.21,245919.12,2435.22,2610.19,2511.92,2279.29,20,20,1
Abr,1006649.11,862915.89,675314.01,114592.84,1113008.40,5739.80,990174.29,242965.94,2285.36,2496.56,2358.24,703.85,20,20,1
Mai,1032609.68,889684.19,703175.13,119836.63,1152732.95,5847.46,1036467.69,242275.95,2268.38,2503.31,2406.01,112.89,21,21,0
Jun,1000899.20,857864.82,669007.89,114114.21,1100629.76,5858.24,978317.50,242119.48,2346.24,2511.61,2393.91,1272.18,20,20,1
Jul,1019461.67,864660.25,681272.55,130937.76,1117607.87,6492.29,996678.40,262329.85,2304.68,2498.64,2388.65,300.69,23,23,2
Ago,798076.38,623269.57,484435.58,78832.98,795136.11,3843.81,671679.52,297094.05,2243.80,2472.70,2399.90,111.67,14,14,0
Set,1071251.69,896787.62,679615.69,129970.36,1123975.06,10032.81,964753.03,293857.29,3287.55,3250.93,3238.21,3238.21,22,22,2
Out,1121514.59,944578.84,743509.87,136668.26,1231200.55,11182.89,1073282.65,299908.52,3093.78,3052.22,2981.28,2981.28,22,22,3
